Facility Code,Health Facility Code Short,Health Facility Code Duplicate 1,Source Duplicate 1,Duplicate 1 Date Collected,Health Facility Code Duplicate 2,Source Duplicate 2,Duplicate 2 Date Collected,Health Facility Code Duplicate 3,Source Duplicate 3,Duplicate 3 Date Collected,Health Facility Code Duplicate 4,Source Duplicate 4,Duplicate 4 Date Collected,SPEED Code,Source SPEED Code,SPEED Code Date Collected,PhilHealth Registration Number,Source Phil Health Code,Phil Health Code Date Collected,Health Facility Authorization/License to Operate,Source LTO Code,LTO Code Date Collected,Facility Name,Source Facility Name,Facility Name Date Collected,Old Health Facility Name 1,Source Old Health Facility Name 1,Old Health Facility Name 1 Date Collected,Old Health Facility Name 2,Source Old Health Facility Name 2,Old Health Facility Name 2 Date Collected,Old Health Facility Name 3,Source Old Health Facility Name 3,Old Health Facility Name 3 Date Collected,Health Facility Type,Source Health Facility Type,Health Facility Type Date Collected,Ownership Major Classification,Source Ownership Major Classification,Ownership Major Classification Date Collected,Ownership Sub-Classification for Government facilities,Source Ownership Sub-Classification for Government facilities,OSC Government Date Collected,Ownership Sub-Classification for private facilities,Source Ownership Sub-Classification for private facilities,OSC Private Date Collected,Street Name and #,Source Street Name and #,Street Name and # Date Collected,Building name and #,Source Building name and #,Building name and # Date Collected,Region Name                                             ,Source Region Name,Region Name Date Collected,Region PSGC,Province Name ,Source Province Name,Province Name  Date Collected,Province PSGC,City/Municipality Name,Source City/Municipality Name,City/Municipality Name Date Collected,City/Municipality PSGC,Barangay Name,Source Barangay Name,Barangay Name Date Collected,Barangay PSGC,Zip Code,Source Zip code,Zip Code Date Collected,Landline Number 1,Source Landline Number 1,Landline Number 1 Date Collected,Landline Number 2,Source Landline Number 2,Landline Number 2 Date Collected,Mobile Number 1,Source Mobile Number,Mobile Number Date Collected,Mobile Number 2,mobile number 2 src,mobile number 2 dt,Fax Number,Source Fax Number,Fax Number Date Collected,Email Address,Source Email Address,Email Address Date Collected,Alternate Email Address,Source Alternate Email Address,Alternate Email Address Date Collected,Official Website,Source Official Website,Official Website Date Collected,Facility Head: Last Name,Facility Head: First Name,Facility Head: Middle Name,Source Facility Head,Facility Head Date Collected,Facility Head: Position,Source Facility Head: Position,Facility Head: Position Date Collected,Latitude,Longitude,Source Latitude/Longitude,Latitude/Longitude Coord Date Collected,Precision Latitude/Longitude,Source Precision Latitude/Longitude,Health Facility Status in the database,Source Health Facility Status in the database,Health Facility Status in the database Date Collected,Reason for Inactive,Source Reason for Inactive,Reason for Inactive Date Collected,Comments,Source Comments,Comments Date Collected,Approval Status,Service Capability,Licensing Status,Licensing Status Source,Licensing Status Date Collected,Bed Capacity,Bed Capacity Source,Bed Capacity Date Collected,Request Source
DOH000000000000851,851,DOH000000000010661,DOH/KMITS,07/01/2013,, ,,, ,,, ,,NCRMAN033R,,12/15/2013, ,,, ,,,F. LEGARDA HEALTH CENTER,DMO (DOH Rep),10/23/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),10/23/2014,Government,DMO (DOH Rep),10/23/2014,Local Government Unit,DMO (DOH Rep),10/23/2014, , ,,457 QUINTOS STREET,DMO (DOH Rep),10/23/2014, , ,,NATIONAL CAPITAL REGION (NCR),DMO (DOH Rep),10/23/2014,130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",DMO (DOH Rep),10/23/2014,133900000,CITY OF MANILA,DMO (DOH Rep),10/23/2014,133906000, , ,, , , ,,+63 027812456,DMO (DOH Rep),10/23/2014, , ,, , ,,,,, , ,, , ,, , ,, , ,,LAYA,BELINDA, ,DMO (DOH Rep),10/23/2014,Rural Health Physician,DMO (DOH Rep),10/23/2014,14.60891,121.00131,CHD (GPS),10/23/2014,High,DOH/KMITS,Active,DMO (DOH Rep),10/23/2014,Not Applicable,DMO (DOH Rep),10/23/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000003840,3840,DOH000000000011915,DOH/KMITS,07/01/2013,, ,,, ,,, ,,NCRMAN031R,,12/15/2013, ,,, ,,,M. EARNSHAW HEALTH CENTER,DMO (DOH Rep),10/23/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),10/23/2014,Government,DMO (DOH Rep),10/23/2014,Local Government Unit,DMO (DOH Rep),10/23/2014, , ,,677 M. EARNSHAW STREET,DMO (DOH Rep),10/23/2014, , ,,NATIONAL CAPITAL REGION (NCR),DMO (DOH Rep),10/23/2014,130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",DMO (DOH Rep),10/23/2014,133900000,CITY OF MANILA,DMO (DOH Rep),10/23/2014,133906000, , ,, , , ,,+63 027498273,DMO (DOH Rep),10/23/2014, , ,,+63 9164954225,DMO (DOH Rep),10/23/2014,,,, , ,, , ,, , ,, , ,,MARGATE,ROSARIO, ,DMO (DOH Rep),10/23/2014,Rural Health Physician,DMO (DOH Rep),10/23/2014,14.60593,120.9932,CHD (GPS),10/23/2014,High,DOH/KMITS,Active,DMO (DOH Rep),10/23/2014,Not Applicable,DMO (DOH Rep),10/23/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000027882,27882,, ,,, ,,, ,,, ,, ,,, ,,, ,,,M. F. JHOCSON HEALTH CENTER,DMO (DOH Rep),10/23/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),10/23/2014,Government,DMO (DOH Rep),10/23/2014,Local Government Unit,DMO (DOH Rep),10/23/2014, , ,,M. F. JHOCSON STREET,DMO (DOH Rep),10/23/2014, , ,,NATIONAL CAPITAL REGION (NCR),DMO (DOH Rep),10/23/2014,130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",DMO (DOH Rep),10/23/2014,133900000,CITY OF MANILA,DMO (DOH Rep),10/23/2014,133906000, , ,, , , ,,+63 023452835,DMO (DOH Rep),10/23/2014, , ,,+63 9176416822,DMO (DOH Rep),10/23/2014,,,, , ,, , ,, , ,, , ,,BENITEZ,GERARDO, ,DMO (DOH Rep),10/23/2014,Rural Health Physician,DMO (DOH Rep),10/23/2014,14.60112,120.99604,CHD (GPS),10/23/2014,High,DOH/KMITS,Active,DMO (DOH Rep),10/23/2014,Not Applicable,DMO (DOH Rep),10/23/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000000832,832,DOH000000000008926,DOH/KMITS,07/01/2013,DOH000000000022532,DOH/KMITS,07/01/2013,, ,,, ,, ,,, ,,, ,,,CALABASH HEALTH CENTER,DMO (DOH Rep),10/23/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),10/23/2014,Government,DMO (DOH Rep),10/23/2014,Local Government Unit,DMO (DOH Rep),10/23/2014, , ,,2111 SOLEDAD EXTENSION,DMO (DOH Rep),10/23/2014, , ,,NATIONAL CAPITAL REGION (NCR),DMO (DOH Rep),10/23/2014,130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",DMO (DOH Rep),10/23/2014,133900000,CITY OF MANILA,DMO (DOH Rep),10/23/2014,133906000,BARANGAY 534,DMO (DOH Rep),10/23/2014,133906140, , ,,+63 027812024,DMO (DOH Rep),10/23/2014, , ,, , ,,,,, , ,, , ,, , ,, , ,,FUGGAN,MA. BERNADETTE, ,DMO (DOH Rep),10/23/2014,Rural Health Physician,DMO (DOH Rep),10/23/2014,14.61172,121.00353,CHD (GPS),10/23/2014,High,DOH/KMITS,Active,DMO (DOH Rep),10/23/2014,Not Applicable,DMO (DOH Rep),10/23/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000000860,860,DOH000000000011901,DOH/KMITS,07/01/2013,, ,,, ,,, ,,NCRMAN038R,,12/15/2013, ,,, ,,,LUZVIMINDA HEALTH CENTER,DMO (DOH Rep),10/23/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),10/23/2014,Government,DMO (DOH Rep),10/23/2014,Local Government Unit,DMO (DOH Rep),10/23/2014, , ,,CEBU STREET CORNER LUZON AVENUE,DMO (DOH Rep),10/23/2014, , ,,NATIONAL CAPITAL REGION (NCR),DMO (DOH Rep),10/23/2014,130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",DMO (DOH Rep),10/23/2014,133900000,CITY OF MANILA,DMO (DOH Rep),10/23/2014,133906000,BARANGAY 558,DMO (DOH Rep),10/23/2014,133906164, , ,,+63 027155047,DMO (DOH Rep),10/23/2014, , ,, , ,,,,, , ,, , ,, , ,, , ,,CASTRO,RICHARD, ,DMO (DOH Rep),10/23/2014,Rural Health Physician,DMO (DOH Rep),10/23/2014,14.61063,121.0073,CHD (GPS),10/23/2014,High,DOH/KMITS,Active,DMO (DOH Rep),10/23/2014,Not Applicable,DMO (DOH Rep),10/23/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000006106,6106,DOH000000000008814,DOH/KMITS,07/01/2013,, ,,, ,,, ,,NCRMAN008R,,12/15/2013, ,,, ,,,BO. MAGSAYSAY HEALTH CENTER,DMO (DOH Rep),10/23/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),10/23/2014,Government,DMO (DOH Rep),10/23/2014,Local Government Unit,DMO (DOH Rep),10/23/2014, , ,,300 HERBOSA STREET,DMO (DOH Rep),10/23/2014, , ,,NATIONAL CAPITAL REGION (NCR),DMO (DOH Rep),10/23/2014,130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",DMO (DOH Rep),10/23/2014,133900000,CITY OF MANILA,DMO (DOH Rep),10/23/2014,133901000,BARANGAY  85,DMO (DOH Rep),10/23/2014,133901085, , ,,+63 022568124,DMO (DOH Rep),10/23/2014, , ,, , ,,,,, , ,, , ,, , ,, , ,,GAN,ELOISA,MAGPANTAY,DMO (DOH Rep),10/23/2014,Rural Health Physician,DMO (DOH Rep),10/23/2014,14.6184,120.96487,CHD (GPS),10/23/2014,High,DOH/KMITS,Active,DMO (DOH Rep),10/23/2014,Not Applicable,DMO (DOH Rep),10/23/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000000918,918,DOH000000000005111,DOH/KMITS,07/01/2013,DOH000000000016070,DOH/KMITS,07/01/2013,, ,,, ,, ,,, ,,, ,,,VITAS HEALTH CENTER,DMO (DOH Rep),10/23/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),10/23/2014,Government,DMO (DOH Rep),10/23/2014,Local Government Unit,DMO (DOH Rep),10/23/2014, , ,,"VIB COMPOUND, VITAS STREET",DMO (DOH Rep),10/23/2014, , ,,NATIONAL CAPITAL REGION (NCR),DMO (DOH Rep),10/23/2014,130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",DMO (DOH Rep),10/23/2014,133900000,CITY OF MANILA,DMO (DOH Rep),10/23/2014,133901000,BARANGAY 101,DMO (DOH Rep),10/23/2014,133901101, , ,,+63 022530054,DMO (DOH Rep),10/23/2014, , ,, , ,,,,, , ,, , ,, , ,, , ,,QUIJANO-AQUINO,MARY GRACE, ,DMO (DOH Rep),10/23/2014,Rural Health Physician,DMO (DOH Rep),10/23/2014,14.62688,120.96214,CHD (GPS),10/23/2014,High,DOH/KMITS,Active,DMO (DOH Rep),10/23/2014,Not Applicable,DMO (DOH Rep),10/23/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000027922,27922,, ,,, ,,, ,,, ,, ,,, ,,, ,,,SMOKEY MOUNTAIN HEALTH CENTER,DMO (DOH Rep),10/23/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),10/23/2014,Government,DMO (DOH Rep),10/23/2014,Local Government Unit,DMO (DOH Rep),10/23/2014, , ,,"PERMANENT HOUSING, BALUT",DMO (DOH Rep),10/23/2014, , ,,NATIONAL CAPITAL REGION (NCR),DMO (DOH Rep),10/23/2014,130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",DMO (DOH Rep),10/23/2014,133900000,CITY OF MANILA,DMO (DOH Rep),10/23/2014,133901000,BARANGAY 128,DMO (DOH Rep),10/23/2014,133901128, , ,,+63 024256556,DMO (DOH Rep),10/23/2014, , ,,+63 9228292312,DMO (DOH Rep),10/23/2014,,,, , ,, , ,, , ,, , ,,VARGAS-RIMANDO,EVELYN,M.,DMO (DOH Rep),10/23/2014,Rural Health Physician,DMO (DOH Rep),10/23/2014,14.63259,120.96213,CHD (GPS),10/23/2014,High,DOH/KMITS,Active,DMO (DOH Rep),10/23/2014,Not Applicable,DMO (DOH Rep),10/23/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000000908,908,DOH000000000015392,DOH/KMITS,07/01/2013,DOH000000000022888,DOH/KMITS,07/01/2013,, ,,, ,, ,,, ,,, ,,,TALON IV HEALTH CENTER,DMO (DOH Rep),10/23/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),10/23/2014,Government,DMO (DOH Rep),10/23/2014,Local Government Unit,DMO (DOH Rep),10/23/2014, , ,,SAMPAGUITA STREET,DMO (DOH Rep),10/23/2014, , ,,NATIONAL CAPITAL REGION (NCR),DMO (DOH Rep),10/23/2014,130000000,"NCR, FOURTH DISTRICT (Not a Province)",DMO (DOH Rep),10/23/2014,137600000,CITY OF LAS PI?AS,DMO (DOH Rep),10/23/2014,137601000,TALON KUATRO,DMO (DOH Rep),10/23/2014,137601019, , ,,+63 028011862,DMO (DOH Rep),10/23/2014, , ,, , ,,,,, , ,, , ,, , ,, , ,,CALINISAN,BIENVENIDO, ,DMO (DOH Rep),10/23/2014,Rural Health Physician,DMO (DOH Rep),10/23/2014,14.43403,120.99765,CHD (GPS),10/23/2014,High,DOH/KMITS,Active,DMO (DOH Rep),10/23/2014,Not Applicable,DMO (DOH Rep),10/23/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000000875,875,DOH000000000012470,DOH/KMITS,11/29/2018,DOH000000000022939,DOH/KMITS,11/29/2018,DOH000000000001453,DOH/KMITS,11/29/2018,,,, ,,, ,,,,,,OBLIZA HEALTH CENTER,DMO (DOH Rep),11/29/2018,OBLIZA PUERICULTURE CENTER,DMO (DOH Rep),11/29/2018,OLYMPIA HEALTH CENTER,DMO (DOH Rep),11/29/2018,,,,Rural Health Unit,DMO (DOH Rep),11/29/2018,Government,DMO (DOH Rep),11/29/2018,Local Government Unit,DMO (DOH Rep),11/29/2018,,,,FORTUNA STREET,DMO (DOH Rep),11/29/2018,,,,NATIONAL CAPITAL REGION (NCR),DMO (DOH Rep),11/29/2018,130000000,"NCR, FOURTH DISTRICT (Not a Province)",DMO (DOH Rep),11/29/2018,137600000,CITY OF MAKATI,DMO (DOH Rep),11/29/2018,137602000,OLYMPIA,DMO (DOH Rep),11/29/2018,137602014,,,,+63 028991212,DMO (DOH Rep),11/29/2018,+63 028979718,DMO (DOH Rep),11/29/2018,,,,,,,,,,,,,,,,,,,MONTANO,JONASH,BALOLONG,DMO (DOH Rep),11/29/2018,Rural Health Physician,DMO (DOH Rep),11/29/2018,14.574476,121.021255,CHD (GPS),11/29/2018,High,DOH/KMITS,Active,DMO (DOH Rep),11/29/2018,Not Applicable,DMO (DOH Rep),11/29/2018,,,,Approved,,,,,,,,NHFR WEBSITE
