Facility Code,Health Facility Code Short,Health Facility Code Duplicate 1,Source Duplicate 1,Duplicate 1 Date Collected,Health Facility Code Duplicate 2,Source Duplicate 2,Duplicate 2 Date Collected,Health Facility Code Duplicate 3,Source Duplicate 3,Duplicate 3 Date Collected,Health Facility Code Duplicate 4,Source Duplicate 4,Duplicate 4 Date Collected,SPEED Code,Source SPEED Code,SPEED Code Date Collected,PhilHealth Registration Number,Source Phil Health Code,Phil Health Code Date Collected,Health Facility Authorization/License to Operate,Source LTO Code,LTO Code Date Collected,Facility Name,Source Facility Name,Facility Name Date Collected,Old Health Facility Name 1,Source Old Health Facility Name 1,Old Health Facility Name 1 Date Collected,Old Health Facility Name 2,Source Old Health Facility Name 2,Old Health Facility Name 2 Date Collected,Old Health Facility Name 3,Source Old Health Facility Name 3,Old Health Facility Name 3 Date Collected,Health Facility Type,Source Health Facility Type,Health Facility Type Date Collected,Ownership Major Classification,Source Ownership Major Classification,Ownership Major Classification Date Collected,Ownership Sub-Classification for Government facilities,Source Ownership Sub-Classification for Government facilities,OSC Government Date Collected,Ownership Sub-Classification for private facilities,Source Ownership Sub-Classification for private facilities,OSC Private Date Collected,Street Name and #,Source Street Name and #,Street Name and # Date Collected,Building name and #,Source Building name and #,Building name and # Date Collected,Region Name                                             ,Source Region Name,Region Name Date Collected,Region PSGC,Province Name ,Source Province Name,Province Name  Date Collected,Province PSGC,City/Municipality Name,Source City/Municipality Name,City/Municipality Name Date Collected,City/Municipality PSGC,Barangay Name,Source Barangay Name,Barangay Name Date Collected,Barangay PSGC,Zip Code,Source Zip code,Zip Code Date Collected,Landline Number 1,Source Landline Number 1,Landline Number 1 Date Collected,Landline Number 2,Source Landline Number 2,Landline Number 2 Date Collected,Mobile Number 1,Source Mobile Number,Mobile Number Date Collected,Mobile Number 2,mobile number 2 src,mobile number 2 dt,Fax Number,Source Fax Number,Fax Number Date Collected,Email Address,Source Email Address,Email Address Date Collected,Alternate Email Address,Source Alternate Email Address,Alternate Email Address Date Collected,Official Website,Source Official Website,Official Website Date Collected,Facility Head: Last Name,Facility Head: First Name,Facility Head: Middle Name,Source Facility Head,Facility Head Date Collected,Facility Head: Position,Source Facility Head: Position,Facility Head: Position Date Collected,Latitude,Longitude,Source Latitude/Longitude,Latitude/Longitude Coord Date Collected,Precision Latitude/Longitude,Source Precision Latitude/Longitude,Health Facility Status in the database,Source Health Facility Status in the database,Health Facility Status in the database Date Collected,Reason for Inactive,Source Reason for Inactive,Reason for Inactive Date Collected,Comments,Source Comments,Comments Date Collected,Approval Status,Service Capability,Licensing Status,Licensing Status Source,Licensing Status Date Collected,Bed Capacity,Bed Capacity Source,Bed Capacity Date Collected,Request Source
DOH000000000008661,8661,,,,,,,,,,,,,,,,,,,,,,BANGIN BARANGAY HEALTH STATION,Unknown,01/01/2010,,,,,,,,,,Barangay Health Station,Unknown,01/01/2010,Government,Unknown,01/01/2010,Local Government Unit,Unknown,01/01/2010,,,,,,,,,,REGION IV-A (CALABAR ZON),Unknown,01/01/2010,40000000,BATANGAS,Unknown,01/01/2010,41000000,AGONCILLO,Unknown,01/01/2010,41001000,BANGIN,Unknown,01/01/2010,41001006,4211,DOH/KMITS,02/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,GARCIA,IRENEA,C.,Unknown,01/01/2010,Rural Health Midwife,Unknown,01/01/2010,13.927823,120.925747,NAMRIA (GPS),3/31/2016,High,DOH/KMITS,Active,Unknown,01/01/2010,Not Applicable,DMO (DOH Rep),02/11/2015,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000008574,8574,,,,,,,,,,,,,,,,,,,,,,BILIBINWANG BARANGAY HEALTH STATION,Unknown,01/01/2010,,,,,,,,,,Barangay Health Station,Unknown,01/01/2010,Government,Unknown,01/01/2010,Local Government Unit,Unknown,01/01/2010,,,,,,,,,,REGION IV-A (CALABAR ZON),Unknown,01/01/2010,40000000,BATANGAS,Unknown,01/01/2010,41000000,AGONCILLO,Unknown,01/01/2010,41001000,BILIBINWANG,Unknown,01/01/2010,41001005,4211,DOH/KMITS,02/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,VERGARA,FELINA,B.,Unknown,01/01/2010,Rural Health Midwife,Unknown,01/01/2010,13.98941,120.94416,WHO (Barangay Centroid),8/15/2012,Low,DOH/KMITS,Active,Unknown,01/01/2010,Not Applicable,DMO (DOH Rep),02/11/2015,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000008655,8655,,,,,,,,,,,,,,,,,,,,,,CORAL NA MUNTI BARANGAY HEALTH STATION,Unknown,01/01/2010,,,,,,,,,,Barangay Health Station,Unknown,01/01/2010,Government,Unknown,01/01/2010,Local Government Unit,Unknown,01/01/2010,,,,,,,,,,REGION IV-A (CALABAR ZON),Unknown,01/01/2010,40000000,BATANGAS,Unknown,01/01/2010,41000000,AGONCILLO,Unknown,01/01/2010,41001000,CORAL NA MUNTI,Unknown,01/01/2010,41001008,4211,DOH/KMITS,02/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,MATUBIS,BEVERLY,C.,Unknown,01/01/2010,,,,13.94506,120.91631,WHO (Barangay Centroid),8/15/2012,Low,DOH/KMITS,Active,Unknown,01/01/2010,Not Applicable,DMO (DOH Rep),02/11/2015,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000008523,8523,,,,,,,,,,,,,,,,,,,,,,PANHULAN BARANGAY HEALTH STATION,Unknown,01/01/2010,,,,,,,,,,Barangay Health Station,Unknown,01/01/2010,Government,Unknown,01/01/2010,Local Government Unit,Unknown,01/01/2010,,,,,,,,,,REGION IV-A (CALABAR ZON),Unknown,01/01/2010,40000000,BATANGAS,Unknown,01/01/2010,41000000,AGONCILLO,Unknown,01/01/2010,41001000,PANHULAN,Unknown,01/01/2010,41001013,4211,DOH/KMITS,02/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,GARCIA,MELANIA,A.,Unknown,01/01/2010,Rural Health Midwife,Unknown,01/01/2010,13.941326,120.941716,NAMRIA (GPS),3/31/2016,High,DOH/KMITS,Active,Unknown,01/01/2010,Not Applicable,DMO (DOH Rep),02/11/2015,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000004132,4132,DOH000000000008374,DOH/KMITS,07/01/2013,,,,,,,,,,4ABTG001R,,12/15/2013,,,,,,,AGONCILLO RURAL HEALTH UNIT,DMO (DOH Rep),02/11/2015,,,,,,,,,,Rural Health Unit,DMO (DOH Rep),02/11/2015,Government,DMO (DOH Rep),02/11/2015,Local Government Unit,DMO (DOH Rep),02/11/2015,,,,,,,,,,REGION IV-A (CALABAR ZON),DMO (DOH Rep),02/11/2015,40000000,BATANGAS,DMO (DOH Rep),02/11/2015,41000000,AGONCILLO,DMO (DOH Rep),02/11/2015,41001000,POBLACION,DMO (DOH Rep),02/11/2015,41001015,4211,DOH/KMITS,02/11/2015,+63 432102116,DMO (DOH Rep),02/11/2015,+63 432102334,DMO (DOH Rep),02/11/2015,+63 9154895720,DMO (DOH Rep),02/11/2015,,,,+63 432102344,DMO (DOH Rep),02/11/2015,,,,,,,,,,LANDICHO,RICHARD,B.,DMO (DOH Rep),02/11/2015,Municipal Health Officer,DMO (DOH Rep),02/11/2015,13.933392,120.928846,NAMRIA (GPS),3/31/2016,High,DOH/KMITS,Active,DMO (DOH Rep),02/11/2015,Not Applicable,DMO (DOH Rep),02/11/2015,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000008410,8410,,,,,,,,,,,,,4ABTG003B,,12/15/2013,,,,,,,SUBIC IBABA BARANGAY HEALTH STATION,Unknown,01/01/2010,,,,,,,,,,Barangay Health Station,Unknown,01/01/2010,Government,Unknown,01/01/2010,Local Government Unit,Unknown,01/01/2010,,,,,,,,,,REGION IV-A (CALABAR ZON),Unknown,01/01/2010,40000000,BATANGAS,Unknown,01/01/2010,41000000,AGONCILLO,Unknown,01/01/2010,41001000,SUBIC IBABA,Unknown,01/01/2010,41001021,4211,DOH/KMITS,02/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,TORDECILLA,LEONILA,M.,Unknown,01/01/2010,Rural Health Midwife,Unknown,01/01/2010,13.948441,120.94405,NAMRIA (GPS),3/31/2016,High,DOH/KMITS,Active,Unknown,01/01/2010,Not Applicable,DMO (DOH Rep),02/11/2015,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000008942,8942,,,,,,,,,,,,,,,,,,,,,,CONCEPCION BARANGAY HEALTH STATION,Unknown,01/01/2010,,,,,,,,,,Barangay Health Station,Unknown,01/01/2010,Government,Unknown,01/01/2010,Local Government Unit,Unknown,01/01/2010,,,,,,,,,,REGION IV-A (CALABAR ZON),Unknown,01/01/2010,40000000,BATANGAS,Unknown,01/01/2010,41000000,ALITAGTAG,Unknown,01/01/2010,41002000,CONCEPCION,Unknown,01/01/2010,41002002,4205,DOH/KMITS,02/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,ADAN,FELIZA,C.,Unknown,01/01/2010,Rural Health Midwife,Unknown,01/01/2010,13.867573,121.017072,NAMRIA (GPS),04/01/2016,High,DOH/KMITS,Active,Unknown,01/01/2010,Not Applicable,DMO (DOH Rep),02/11/2015,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000008948,8948,,,,,,,,,,,,,,,,,,,,,,CONCORDIA BARANGAY HEALTH STATION,Unknown,01/01/2010,,,,,,,,,,Barangay Health Station,Unknown,01/01/2010,Government,Unknown,01/01/2010,Local Government Unit,Unknown,01/01/2010,,,,,,,,,,REGION IV-A (CALABAR ZON),Unknown,01/01/2010,40000000,BATANGAS,Unknown,01/01/2010,41000000,ALITAGTAG,Unknown,01/01/2010,41002000,CONCORDIA,Unknown,01/01/2010,41002003,4205,DOH/KMITS,02/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,TUBO,ANALIZA,,Unknown,01/01/2010,Rural Health Midwife,Unknown,01/01/2010,13.849513,121.021374,NAMRIA (GPS),04/01/2016,High,DOH/KMITS,Active,Unknown,01/01/2010,Not Applicable,DMO (DOH Rep),02/11/2015,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000008860,8860,,,,,,,,,,,,,,,,,,,,,,DALIPIT WEST BARANGAY HEALTH STATION,Unknown,01/01/2010,,,,,,,,,,Barangay Health Station,Unknown,01/01/2010,Government,Unknown,01/01/2010,Local Government Unit,Unknown,01/01/2010,,,,,,,,,,REGION IV-A (CALABAR ZON),Unknown,01/01/2010,40000000,BATANGAS,Unknown,01/01/2010,41000000,ALITAGTAG,Unknown,01/01/2010,41002000,DALIPIT WEST,Unknown,01/01/2010,41002005,4205,DOH/KMITS,02/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,MARANAN,MARIA EVA MELISSA,C.,Unknown,01/01/2010,Rural Health Midwife,Unknown,01/01/2010,13.868036,121.027351,NAMRIA (GPS),04/01/2016,High,DOH/KMITS,Active,Unknown,01/01/2010,Not Applicable,DMO (DOH Rep),02/11/2015,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000004533,4533,DOH000000000008671,DOH/KMITS,07/01/2013,,,,,,,,,,4ABTG026R,,12/15/2013,,,,,,,ALITAGTAG RURAL HEALTH UNIT,DMO (DOH Rep),02/11/2015,,,,,,,,,,Rural Health Unit,DMO (DOH Rep),02/11/2015,Government,DMO (DOH Rep),02/11/2015,Local Government Unit,DMO (DOH Rep),02/11/2015,,,,,,,,,,REGION IV-A (CALABAR ZON),DMO (DOH Rep),02/11/2015,40000000,BATANGAS,DMO (DOH Rep),02/11/2015,41000000,ALITAGTAG,DMO (DOH Rep),02/11/2015,41002000,POBLACION EAST,DMO (DOH Rep),02/11/2015,41002015,4205,DOH/KMITS,02/11/2015,+63 437720207,DMO (DOH Rep),02/11/2015,+63 437720154,DMO (DOH Rep),02/11/2015,+63 9293780472,DMO (DOH Rep),02/11/2015,,,,+63 437720154,DMO (DOH Rep),02/11/2015,,,,,,,,,,CASTILLO,FLORDELIZA,,DMO (DOH Rep),02/11/2015,Municipal Health Officer,DMO (DOH Rep),02/11/2015,13.866259,121.006261,NAMRIA (GPS),04/01/2016,High,DOH/KMITS,Active,DMO (DOH Rep),02/11/2015,Not Applicable,DMO (DOH Rep),02/11/2015,,,,Approved,,,,,,,,NHFR WEBSITE
