Facility Code,Health Facility Code Short,Health Facility Code Duplicate 1,Source Duplicate 1,Duplicate 1 Date Collected,Health Facility Code Duplicate 2,Source Duplicate 2,Duplicate 2 Date Collected,Health Facility Code Duplicate 3,Source Duplicate 3,Duplicate 3 Date Collected,Health Facility Code Duplicate 4,Source Duplicate 4,Duplicate 4 Date Collected,SPEED Code,Source SPEED Code,SPEED Code Date Collected,PhilHealth Registration Number,Source Phil Health Code,Phil Health Code Date Collected,Health Facility Authorization/License to Operate,Source LTO Code,LTO Code Date Collected,Facility Name,Source Facility Name,Facility Name Date Collected,Old Health Facility Name 1,Source Old Health Facility Name 1,Old Health Facility Name 1 Date Collected,Old Health Facility Name 2,Source Old Health Facility Name 2,Old Health Facility Name 2 Date Collected,Old Health Facility Name 3,Source Old Health Facility Name 3,Old Health Facility Name 3 Date Collected,Health Facility Type,Source Health Facility Type,Health Facility Type Date Collected,Ownership Major Classification,Source Ownership Major Classification,Ownership Major Classification Date Collected,Ownership Sub-Classification for Government facilities,Source Ownership Sub-Classification for Government facilities,OSC Government Date Collected,Ownership Sub-Classification for private facilities,Source Ownership Sub-Classification for private facilities,OSC Private Date Collected,Street Name and #,Source Street Name and #,Street Name and # Date Collected,Building name and #,Source Building name and #,Building name and # Date Collected,Region Name                                             ,Source Region Name,Region Name Date Collected,Region PSGC,Province Name ,Source Province Name,Province Name  Date Collected,Province PSGC,City/Municipality Name,Source City/Municipality Name,City/Municipality Name Date Collected,City/Municipality PSGC,Barangay Name,Source Barangay Name,Barangay Name Date Collected,Barangay PSGC,Zip Code,Source Zip code,Zip Code Date Collected,Landline Number 1,Source Landline Number 1,Landline Number 1 Date Collected,Landline Number 2,Source Landline Number 2,Landline Number 2 Date Collected,Mobile Number 1,Source Mobile Number,Mobile Number Date Collected,Mobile Number 2,mobile number 2 src,mobile number 2 dt,Fax Number,Source Fax Number,Fax Number Date Collected,Email Address,Source Email Address,Email Address Date Collected,Alternate Email Address,Source Alternate Email Address,Alternate Email Address Date Collected,Official Website,Source Official Website,Official Website Date Collected,Facility Head: Last Name,Facility Head: First Name,Facility Head: Middle Name,Source Facility Head,Facility Head Date Collected,Facility Head: Position,Source Facility Head: Position,Facility Head: Position Date Collected,Latitude,Longitude,Source Latitude/Longitude,Latitude/Longitude Coord Date Collected,Precision Latitude/Longitude,Source Precision Latitude/Longitude,Health Facility Status in the database,Source Health Facility Status in the database,Health Facility Status in the database Date Collected,Reason for Inactive,Source Reason for Inactive,Reason for Inactive Date Collected,Comments,Source Comments,Comments Date Collected,Approval Status,Service Capability,Licensing Status,Licensing Status Source,Licensing Status Date Collected,Bed Capacity,Bed Capacity Source,Bed Capacity Date Collected,Request Source
DOH000000000002095,2095,,,,,,,,,,,,,4BMARXXX,,12/15/2013, ,,,,,,BALARING BARANGAY HEALTH STATION,DMO (DOH Rep),1/15/2020,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),1/15/2020,Government,DMO (DOH Rep),1/15/2020,Local Government Unit,DMO (DOH Rep),1/15/2020,,,,,,,,,,REGION IV-B (MIMAROPA),DMO (DOH Rep),1/15/2020,170000000,MARINDUQUE,DMO (DOH Rep),1/15/2020,174000000,BOAC (Capital),DMO (DOH Rep),1/15/2020,174001000,BALARING,DMO (DOH Rep),1/15/2020,174001006,4900,DMO (DOH Rep),1/15/2020,,,,,,,+63 9092488564,DMO (DOH Rep),1/15/2020,,,,,,,,,,,,,,,,MONTEMAR,GLORIA,MAGDURULAN,DMO (DOH Rep),1/15/2020,Rural Health Midwife,DMO (DOH Rep),1/15/2020,13.414515,121.8229,NAMRIA (GPS),2/19/2018,High,DOH/KMITS,Active,DMO (DOH Rep),1/15/2020,Not Applicable,DMO (DOH Rep),1/15/2020,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000002011,2011,,,,,,,,,,,,,4BMARXXX,,12/15/2013, ,,,,,,BALIMBING BARANGAY HEALTH STATION,DMO (DOH Rep),1/15/2020,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),1/15/2020,Government,DMO (DOH Rep),1/15/2020,Local Government Unit,DMO (DOH Rep),1/15/2020,,,,,,,,,,REGION IV-B (MIMAROPA),DMO (DOH Rep),1/15/2020,170000000,MARINDUQUE,DMO (DOH Rep),1/15/2020,174000000,BOAC (Capital),DMO (DOH Rep),1/15/2020,174001000,BALIMBING,DMO (DOH Rep),1/15/2020,174001007,4900,DMO (DOH Rep),1/15/2020,,,,,,,+63 9203892344,DMO (DOH Rep),1/15/2020,,,,,,,,,,,,,,,,LEDESMA,YOLANDA,MARQUEZ,DMO (DOH Rep),1/15/2020,Rural Health Midwife,DMO (DOH Rep),1/15/2020,13.43667,121.877902,NAMRIA (GPS),2/19/2018,High,DOH/KMITS,Active,DMO (DOH Rep),1/15/2020,Not Applicable,DMO (DOH Rep),1/15/2020,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000023420,23420,DOH000000000029563,DOH/KMITS,07/01/2013,,,,,,,,,,4BMAR002R,,12/15/2013, ,,,,,,BOAC RURAL HEALTH UNIT II,DMO (DOH Rep),1/15/2020,,,,,,,,,,Rural Health Unit,DMO (DOH Rep),1/15/2020,Government,DMO (DOH Rep),1/15/2020,Local Government Unit,DMO (DOH Rep),1/15/2020,,,,,,,,,,REGION IV-B (MIMAROPA),DMO (DOH Rep),1/15/2020,170000000,MARINDUQUE,DMO (DOH Rep),1/15/2020,174000000,BOAC (Capital),DMO (DOH Rep),1/15/2020,174001000,BANTAY,DMO (DOH Rep),1/15/2020,174001012,4900,DMO (DOH Rep),1/15/2020,,,,,,,+63 9981962489,DMO (DOH Rep),1/15/2020,,,,,,,nes_mho@yahoo.com,DMO (DOH Rep),1/15/2020,,,,,,,ELESERIO,STEPHEN,Y.,DMO (DOH Rep),1/15/2020,Rural Health Physician,DMO (DOH Rep),1/15/2020,13.429324,121.895507,NAMRIA (GPS),2/19/2018,High,DOH/KMITS,Active,DMO (DOH Rep),1/15/2020,Not Applicable,DMO (DOH Rep),1/15/2020,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000023424,23424,,,,,,,,,,,,,4BMARXXX,,12/15/2013, ,,,,,,BINUNGA BARANGAY HEALTH STATION,DMO (DOH Rep),1/15/2020,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),1/15/2020,Government,DMO (DOH Rep),1/15/2020,Local Government Unit,DMO (DOH Rep),1/15/2020,,,,,,,,,,REGION IV-B (MIMAROPA),DMO (DOH Rep),1/15/2020,170000000,MARINDUQUE,DMO (DOH Rep),1/15/2020,174000000,BOAC (Capital),DMO (DOH Rep),1/15/2020,174001000,BINUNGA,DMO (DOH Rep),1/15/2020,174001014,4900,DMO (DOH Rep),1/15/2020,,,,,,,+63 9258464173,DMO (DOH Rep),1/15/2020,,,,,,,,,,,,,,,,MARALIT,APRIL,JIMENA,DMO (DOH Rep),1/15/2020,Rural Health Midwife,DMO (DOH Rep),1/15/2020,13.402659,121.912143,NAMRIA (GPS),2/20/2018,High,DOH/KMITS,Active,DMO (DOH Rep),1/15/2020,Not Applicable,DMO (DOH Rep),1/15/2020,PICTURES WITH TREES ONLY BUT LOCATION VALIDATED BY THE DOH REP,DMO (DOH Rep),1/15/2020,Approved,,,,,,,,NHFR WEBSITE
DOH000000000022470,22470,,,,,,,,,,,,,4BMARXXX,,12/15/2013, ,,,,,,CAWIT BARANGAY HEALTH STATION,DMO (DOH Rep),1/15/2020,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),1/15/2020,Government,DMO (DOH Rep),1/15/2020,Local Government Unit,DMO (DOH Rep),1/15/2020,,,,,,,,,,REGION IV-B (MIMAROPA),DMO (DOH Rep),1/15/2020,170000000,MARINDUQUE,DMO (DOH Rep),1/15/2020,174000000,BOAC (Capital),DMO (DOH Rep),1/15/2020,174001000,CAWIT,DMO (DOH Rep),1/15/2020,174001023,4900,DMO (DOH Rep),1/15/2020,,,,,,,+63 9199666462,DMO (DOH Rep),1/15/2020,,,,,,,,,,,,,,,,LAMBOLOTO,KAREN,CARMONA,DMO (DOH Rep),1/15/2020,Rural Health Midwife,DMO (DOH Rep),1/15/2020,13.381131,121.825208,NAMRIA (GPS),2/19/2018,High,DOH/KMITS,Active,DMO (DOH Rep),1/15/2020,Not Applicable,DMO (DOH Rep),1/15/2020,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000023419,23419,,,,,,,,,,,,,4BMAR001R,,12/15/2013, ,,,,,,PABLO N. MARQUEZ MEMORIAL HEALTH AND DIAGNOSTIC CENTER,DMO (DOH Rep),1/15/2020,BOAC RURAL HEALTH UNIT I,DMO (DOH Rep),1/15/2020,,,,,,,Rural Health Unit,DMO (DOH Rep),1/15/2020,Government,DMO (DOH Rep),1/15/2020,Local Government Unit,DMO (DOH Rep),1/15/2020,,,,,,,,,,REGION IV-B (MIMAROPA),DMO (DOH Rep),1/15/2020,170000000,MARINDUQUE,DMO (DOH Rep),1/15/2020,174000000,BOAC (Capital),DMO (DOH Rep),1/15/2020,174001000,ISOK I (POB.),DMO (DOH Rep),1/15/2020,174001061,4900,DMO (DOH Rep),1/15/2020,+63 427450079,DMO (DOH Rep),1/15/2020,,,,+63 9152092943,DMO (DOH Rep),1/15/2020,,,,,,,mhoboac@yahoo.com,DMO (DOH Rep),1/15/2020,,,,,,,AWAT,JOSELITO,GARCIA,DMO (DOH Rep),1/15/2020,Municipal Health Officer,DMO (DOH Rep),1/15/2020,13.44578,121.84023,CHD (GPS),03/04/2015,High,DOH/KMITS,Active,DMO (DOH Rep),1/15/2020,Not Applicable,DMO (DOH Rep),1/15/2020,IT IS ALSO A DIAGNOSTIC FACILITY WITH GENXPERT TECHNOLOG,DMO (DOH Rep),1/15/2020,Approved,,,,,,,,NHFR WEBSITE
DOH000000000023433,23433,,,,,,,,,,,,,4BMARXXX,,12/15/2013, ,,,,,,MAYBO BARANGAY HEALTH STATION,DMO (DOH Rep),1/15/2020,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),1/15/2020,Government,DMO (DOH Rep),1/15/2020,Local Government Unit,DMO (DOH Rep),1/15/2020,,,,,,,,,,REGION IV-B (MIMAROPA),DMO (DOH Rep),1/15/2020,170000000,MARINDUQUE,DMO (DOH Rep),1/15/2020,174000000,BOAC (Capital),DMO (DOH Rep),1/15/2020,174001000,MAYBO,DMO (DOH Rep),1/15/2020,174001038,4900,DMO (DOH Rep),1/15/2020,,,,,,,+63 9297769780,DMO (DOH Rep),1/15/2020,,,,,,,,,,,,,,,,MANSIA,ELIZABETH,OSMILLO,DMO (DOH Rep),1/15/2020,Rural Health Midwife,DMO (DOH Rep),1/15/2020,13.419809,121.854476,NAMRIA (GPS),2/19/2018,High,DOH/KMITS,Active,DMO (DOH Rep),1/15/2020,Not Applicable,DMO (DOH Rep),1/15/2020,,,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000022474,22474,,,,,,,,,,,,,4BMARXXX,,12/15/2013, ,,,,,,PORAS BARANGAY HEALTH STATION,DMO (DOH Rep),1/15/2020,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),1/15/2020,Government,DMO (DOH Rep),1/15/2020,Local Government Unit,DMO (DOH Rep),1/15/2020,,,,,,,,,,REGION IV-B (MIMAROPA),DMO (DOH Rep),1/15/2020,170000000,MARINDUQUE,DMO (DOH Rep),1/15/2020,174000000,BOAC (Capital),DMO (DOH Rep),1/15/2020,174001000,PORAS,DMO (DOH Rep),1/15/2020,174001045,4900,DMO (DOH Rep),1/15/2020,,,,,,,+63 9293904771,DMO (DOH Rep),1/15/2020,,,,,,,,,,,,,,,,DITAN,LOIDA,LARGO,DMO (DOH Rep),1/15/2020,Rural Health Midwife,DMO (DOH Rep),1/15/2020,13.459356,121.829547,NAMRIA (GPS),2/19/2018,High,DOH/KMITS,Active,DMO (DOH Rep),1/15/2020,Not Applicable,DMO (DOH Rep),1/15/2020,AT THE GROUND FLOOR OF BARANGAY MULTIPURPOSE HALL AND EVACUATION CENTER.,DMO (DOH Rep),1/15/2020,Approved,,,,,,,,NHFR WEBSITE
DOH000000000002748,2748,,,,,,,,,,,,,4BMAR001H,,6/25/2018,,,,,,,MARINDUQUE PROVINCIAL HOSPITAL,Regional Office,7/23/2020,DR. DAMIAN REYES PROVINCIAL HOSPITAL,Regional Office,7/23/2020,,,,,,,Hospital,Regional Office,7/23/2020,Government,Regional Office,7/23/2020,Local Government Unit,Regional Office,7/23/2020,,,,,,,,,,REGION IV-B (MIMAROPA),Regional Office,7/23/2020,170000000,MARINDUQUE,Regional Office,7/23/2020,174000000,BOAC (Capital),Regional Office,7/23/2020,174001000,SANTOL,Regional Office,7/23/2020,174001050,4900,Regional Office,7/23/2020,+63 423322490,Regional Office,7/23/2020,,,,+63 9214437497,Regional Office,7/23/2020,,,,,,,DAMIANREYESPROV.HOSP@YAHOO.COM.PH,Regional Office,7/23/2020,,,,,,,ANCHETA,EDGAR,R.,Regional Office,7/23/2020,Chief of Hospital,Regional Office,7/23/2020,13.442819,121.82898,NAMRIA (GPS),2/20/2018,High,DOH/KMITS,Active,Regional Office,7/23/2020,Not Applicable,Regional Office,7/23/2020,,,,Approved,Level 1,With License,Regional Office,7/23/2020,100,Regional Office,7/23/2020,NHFR WEBSITE
DOH000000000022466,22466,,,,,,,,,,,,,4BMARXXX,,12/15/2013, ,,,,,,BAGACAY BARANGAY HEALTH STATION,DMO (DOH Rep),1/15/2019,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),1/15/2019,Government,DMO (DOH Rep),1/15/2019,Local Government Unit,DMO (DOH Rep),1/15/2019,,,,,,,,,,REGION IV-B (MIMAROPA),DMO (DOH Rep),1/15/2019,170000000,MARINDUQUE,DMO (DOH Rep),1/15/2019,174000000,BUENAVISTA,DMO (DOH Rep),1/15/2019,174002000,BAGACAY,DMO (DOH Rep),1/15/2019,174002001,4904,DMO (DOH Rep),1/15/2019,,,,,,,+63 9479458553,DMO (DOH Rep),1/15/2019,,,,,,,,,,,,,,,,GOMEZ,LAILLANIE,CASTILLO,DMO (DOH Rep),1/15/2019,Rural Health Midwife,DMO (DOH Rep),1/15/2019,13.2513851,121.972805,NAMRIA (GPS),2/19/2018,High,DOH/KMITS,Active,DMO (DOH Rep),1/15/2019,Not Applicable,DMO (DOH Rep),1/15/2019,,,,Approved,,,,,,,,NHFR WEBSITE
