Facility Code,Health Facility Code Short,Health Facility Code Duplicate 1,Source Duplicate 1,Duplicate 1 Date Collected,Health Facility Code Duplicate 2,Source Duplicate 2,Duplicate 2 Date Collected,Health Facility Code Duplicate 3,Source Duplicate 3,Duplicate 3 Date Collected,Health Facility Code Duplicate 4,Source Duplicate 4,Duplicate 4 Date Collected,SPEED Code,Source SPEED Code,SPEED Code Date Collected,PhilHealth Registration Number,Source Phil Health Code,Phil Health Code Date Collected,Health Facility Authorization/License to Operate,Source LTO Code,LTO Code Date Collected,Facility Name,Source Facility Name,Facility Name Date Collected,Old Health Facility Name 1,Source Old Health Facility Name 1,Old Health Facility Name 1 Date Collected,Old Health Facility Name 2,Source Old Health Facility Name 2,Old Health Facility Name 2 Date Collected,Old Health Facility Name 3,Source Old Health Facility Name 3,Old Health Facility Name 3 Date Collected,Health Facility Type,Source Health Facility Type,Health Facility Type Date Collected,Ownership Major Classification,Source Ownership Major Classification,Ownership Major Classification Date Collected,Ownership Sub-Classification for Government facilities,Source Ownership Sub-Classification for Government facilities,OSC Government Date Collected,Ownership Sub-Classification for private facilities,Source Ownership Sub-Classification for private facilities,OSC Private Date Collected,Street Name and #,Source Street Name and #,Street Name and # Date Collected,Building name and #,Source Building name and #,Building name and # Date Collected,Region Name                                             ,Source Region Name,Region Name Date Collected,Region PSGC,Province Name ,Source Province Name,Province Name  Date Collected,Province PSGC,City/Municipality Name,Source City/Municipality Name,City/Municipality Name Date Collected,City/Municipality PSGC,Barangay Name,Source Barangay Name,Barangay Name Date Collected,Barangay PSGC,Zip Code,Source Zip code,Zip Code Date Collected,Landline Number 1,Source Landline Number 1,Landline Number 1 Date Collected,Landline Number 2,Source Landline Number 2,Landline Number 2 Date Collected,Mobile Number 1,Source Mobile Number,Mobile Number Date Collected,Mobile Number 2,mobile number 2 src,mobile number 2 dt,Fax Number,Source Fax Number,Fax Number Date Collected,Email Address,Source Email Address,Email Address Date Collected,Alternate Email Address,Source Alternate Email Address,Alternate Email Address Date Collected,Official Website,Source Official Website,Official Website Date Collected,Facility Head: Last Name,Facility Head: First Name,Facility Head: Middle Name,Source Facility Head,Facility Head Date Collected,Facility Head: Position,Source Facility Head: Position,Facility Head: Position Date Collected,Latitude,Longitude,Source Latitude/Longitude,Latitude/Longitude Coord Date Collected,Precision Latitude/Longitude,Source Precision Latitude/Longitude,Health Facility Status in the database,Source Health Facility Status in the database,Health Facility Status in the database Date Collected,Reason for Inactive,Source Reason for Inactive,Reason for Inactive Date Collected,Comments,Source Comments,Comments Date Collected,Approval Status,Service Capability,Licensing Status,Licensing Status Source,Licensing Status Date Collected,Bed Capacity,Bed Capacity Source,Bed Capacity Date Collected,Request Source
DOH000000000010298,10298,, ,,, ,,, ,,, ,,9ISB018B,,12/15/2013, ,,, ,,,AGUADA BARANGAY HEALTH STATION,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),8/18/2014,Government,DMO (DOH Rep),8/18/2014,Local Government Unit,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,REGION IX (ZAMBOANGA PENINSULA),DMO (DOH Rep),8/18/2014,90000000,CITY OF ISABELA (Not a Province),DMO (DOH Rep),8/18/2014,99700000,CITY OF ISABELA,DMO (DOH Rep),8/18/2014,99701000,AGUADA,DMO (DOH Rep),8/18/2014,99701002,7300,DOH/KMITS,8/18/2014, , ,, , ,,9173066052,DMO (DOH Rep),8/18/2014,,,, , ,, , ,, , ,, , ,,NERI,NIRZA, ,DMO (DOH Rep),8/18/2014,Rural Health Midwife,DMO (DOH Rep),8/18/2014,6.699272,121.969804,NAMRIA (GPS),10/24/2019,high,DOH/KMITS,Active,DMO (DOH Rep),8/18/2014,Not Applicable,DMO (DOH Rep),8/18/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000010359,10359,, ,,, ,,, ,,, ,,9ISB039B,,12/15/2013, ,,, ,,,BALUNO BARANGAY HEALTH STATION,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),8/18/2014,Government,DMO (DOH Rep),8/18/2014,Local Government Unit,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,REGION IX (ZAMBOANGA PENINSULA),DMO (DOH Rep),8/18/2014,90000000,CITY OF ISABELA (Not a Province),DMO (DOH Rep),8/18/2014,99700000,CITY OF ISABELA,DMO (DOH Rep),8/18/2014,99701000,BALUNO,DMO (DOH Rep),8/18/2014,99701005,7300,DOH/KMITS,8/18/2014, , ,, , ,,9176326200,DMO (DOH Rep),8/18/2014,,,, , ,, , ,, , ,, , ,,YU,VIRGINIA,TUBALLA,DMO (DOH Rep),8/18/2014,Public Health Nurse,DMO (DOH Rep),8/18/2014,6.717903,122.028022,NAMRIA (GPS),10/24/2019,high,DOH/KMITS,Active,DMO (DOH Rep),8/18/2014,Not Applicable,DMO (DOH Rep),8/18/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000000425,425,DOH000000000039091,Regional Office,,,,,,,,,,,9ISB003H,,12/15/2013,,,,,,,"BASILAN COMMUNITY HOSPITAL, INC.",Regional Office,7/30/2020,,,,,,,,,,Hospital,Regional Office,7/30/2020,Private,Regional Office,7/30/2020,,,,,,,RIZAL AVENUE,Regional Office,7/30/2020,,,,REGION IX (ZAMBOANGA PENINSULA),Regional Office,7/30/2020,90000000,CITY OF ISABELA (Not a Province),Regional Office,7/30/2020,99700000,CITY OF ISABELA,Regional Office,7/30/2020,99701000,AGUADA,Regional Office,7/30/2020,99701002,7300,Regional Office,7/30/2020,+63 622003273,Regional Office,7/30/2020,,,,,,,,,,,,,BASCOM_INC@YAHOO.COM,Regional Office,12/30/2016,,,,,,,SANSON,MA. ISABEL,B.,Regional Office,7/30/2020,Medical Director,Regional Office,7/30/2020,6.698541,121.968347,NAMRIA (GPS),10/24/2019,high,DOH/KMITS,Active,Regional Office,7/30/2020,Not Applicable,Regional Office,7/30/2020,,,,Approved,Level 1,With License,Regional Office,7/30/2020,35,Regional Office,7/30/2020,NHFR WEBSITE
DOH000000000000426,426,DOH000000000039092,Regional Office,7/30/2020,,,,,,,,,,9ISB001H,Regional Office,12/30/2016,,,,,,,BASILAN GENERAL HOSPITAL,Regional Office,7/30/2020,,,,,,,,,,Hospital,Regional Office,7/30/2020,Government,Regional Office,7/30/2020,Department Of Health,Regional Office,7/30/2020,,,,KILOMETER 2,Regional Office,7/30/2020,,,,REGION IX (ZAMBOANGA PENINSULA),Regional Office,7/30/2020,90000000,CITY OF ISABELA (Not a Province),Regional Office,7/30/2020,99700000,CITY OF ISABELA,Regional Office,7/30/2020,99701000,BINUANGAN,Regional Office,7/30/2020,99701007,7300,Regional Office,7/30/2020,,,,,,,+63 9177109256,Regional Office,7/30/2020,,,,+63 622007954,Regional Office,7/30/2020,basgen7300@gmail.com,Regional Office,7/30/2020,,,,,,,AMILASAN,SITTI NURUSSAMSI,CASALIN,Regional Office,7/30/2020,Chief of Hospital,Regional Office,7/30/2020,6.699357,121.988445,NAMRIA (GPS),10/24/2019,high,DOH/KMITS,Active,Regional Office,7/30/2020,Not Applicable,Regional Office,7/30/2020,,,,Approved,Level 1,With License,Regional Office,7/30/2020,25,Regional Office,7/30/2020,NHFR WEBSITE
DOH000000000001601,1601,DOH000000000010350,DOH/KMITS,8/18/2014,, ,,, ,,, ,, ,,, ,,, ,,,BEGANG BARANGAY HEALTH STATION,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),8/18/2014,Government,DMO (DOH Rep),8/18/2014,Local Government Unit,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,REGION IX (ZAMBOANGA PENINSULA),DMO (DOH Rep),8/18/2014,90000000,CITY OF ISABELA (Not a Province),DMO (DOH Rep),8/18/2014,99700000,CITY OF ISABELA,DMO (DOH Rep),8/18/2014,99701000,BEGANG,DMO (DOH Rep),8/18/2014,99701006,7300,DOH/KMITS,8/18/2014, , ,, , ,,9176326200,DMO (DOH Rep),8/18/2014,,,, , ,, , ,, , ,, , ,,YU,VIRGINIA,TUBALLA,DMO (DOH Rep),8/18/2014,Public Health Nurse,DMO (DOH Rep),8/18/2014,6.689537,122.013925,NAMRIA (GPS),10/24/2019,high,DOH/KMITS,Active,DMO (DOH Rep),8/18/2014,Not Applicable,DMO (DOH Rep),8/18/2014,WITH BIRTHING FACILIY,DMO (DOH Rep),8/18/2014,Approved,,,,,,,,NHFR WEBSITE
DOH000000000010340,10340,, ,,, ,,, ,,, ,,9ISB034B,,12/15/2013, ,,, ,,,BUSAY BARANGAY HEALTH STATION,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),8/18/2014,Government,DMO (DOH Rep),8/18/2014,Local Government Unit,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,REGION IX (ZAMBOANGA PENINSULA),DMO (DOH Rep),8/18/2014,90000000,CITY OF ISABELA (Not a Province),DMO (DOH Rep),8/18/2014,99700000,CITY OF ISABELA,DMO (DOH Rep),8/18/2014,99701000,BUSAY,DMO (DOH Rep),8/18/2014,99701008,7300,DOH/KMITS,8/18/2014, , ,, , ,,9065403075,DMO (DOH Rep),8/18/2014,,,, , ,, , ,, , ,, , ,,GREGORIO,EVELYN,CABANAG,DMO (DOH Rep),8/18/2014,Rural Health Midwife,DMO (DOH Rep),8/18/2014,6.690128,122.00549,NAMRIA (GPS),10/24/2019,high,DOH/KMITS,Active,DMO (DOH Rep),8/18/2014,Not Applicable,DMO (DOH Rep),8/18/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000010319,10319,, ,,, ,,, ,,, ,,9ISB025B,,12/15/2013, ,,, ,,,CABUNBATA BARANGAY HEALTH STATION,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),8/18/2014,Government,DMO (DOH Rep),8/18/2014,Local Government Unit,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,REGION IX (ZAMBOANGA PENINSULA),DMO (DOH Rep),8/18/2014,90000000,CITY OF ISABELA (Not a Province),DMO (DOH Rep),8/18/2014,99700000,CITY OF ISABELA,DMO (DOH Rep),8/18/2014,99701000,CABUNBATA,DMO (DOH Rep),8/18/2014,99701010,7300,DOH/KMITS,8/18/2014, , ,, , ,, , ,,,,, , ,, , ,, , ,, , ,, , , , ,, , ,,6.671519,121.966298,NAMRIA (GPS),10/24/2019,high,DOH/KMITS,Active,DMO (DOH Rep),8/18/2014,Not Applicable,DMO (DOH Rep),8/18/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000002277,2277,DOH000000000010366,DOH/KMITS,8/18/2014,, ,,, ,,, ,, ,,, ,,, ,,,CALVARIO BARANGAY HEALTH STATION,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),8/18/2014,Government,DMO (DOH Rep),8/18/2014,Local Government Unit,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,REGION IX (ZAMBOANGA PENINSULA),DMO (DOH Rep),8/18/2014,90000000,CITY OF ISABELA (Not a Province),DMO (DOH Rep),8/18/2014,99700000,CITY OF ISABELA,DMO (DOH Rep),8/18/2014,99701000,CALVARIO,DMO (DOH Rep),8/18/2014,99701011,7300,DOH/KMITS,8/18/2014, , ,, , ,,9059473490,DMO (DOH Rep),8/18/2014,,,, , ,, , ,, , ,, , ,,SANICO,LUCIA,ARANZA,DMO (DOH Rep),8/18/2014,Rural Health Midwife,DMO (DOH Rep),8/18/2014,6.651819,121.989868,NAMRIA (GPS),10/24/2019,high,DOH/KMITS,Active,DMO (DOH Rep),8/18/2014,Not Applicable,DMO (DOH Rep),8/18/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000010269,10269,, ,,, ,,, ,,, ,,9ISB008B,,12/15/2013, ,,, ,,,CARBON BARANGAY HEALTH STATION,DMO (DOH Rep),8/18/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),8/18/2014,Government,DMO (DOH Rep),8/18/2014,Local Government Unit,DMO (DOH Rep),8/18/2014, , ,,PUROK I,DMO (DOH Rep),8/18/2014, , ,,REGION IX (ZAMBOANGA PENINSULA),DMO (DOH Rep),8/18/2014,90000000,CITY OF ISABELA (Not a Province),DMO (DOH Rep),8/18/2014,99700000,CITY OF ISABELA,DMO (DOH Rep),8/18/2014,99701000,CARBON,DMO (DOH Rep),8/18/2014,99701012,7300,DOH/KMITS,8/18/2014, , ,, , ,, , ,,,,, , ,, , ,, , ,, , ,,ENRIQUEZ,JULIET, ,DMO (DOH Rep),8/18/2014,Rural Health Midwife,DMO (DOH Rep),8/18/2014,6.712823,121.968673,NAMRIA (GPS),10/25/2019,high,DOH/KMITS,Active,DMO (DOH Rep),8/18/2014,Not Applicable,DMO (DOH Rep),8/18/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000010288,10288,,,,,,,,,,,,,9ISB017B,,,,,,,,,DONA RAMONA BARANGAY HEALTH STATION,DMO (DOH Rep),08/01/2018,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),08/01/2018,Government,DMO (DOH Rep),08/01/2018,Local Government Unit,DMO (DOH Rep),08/01/2018,,,,,,,,,,REGION IX (ZAMBOANGA PENINSULA),DMO (DOH Rep),08/01/2018,90000000,CITY OF ISABELA (Not a Province),DMO (DOH Rep),08/01/2018,99700000,CITY OF ISABELA,DMO (DOH Rep),08/01/2018,99701000,DONA RAMONA T. ALANO (ISABELA WESTSITE),DMO (DOH Rep),08/01/2018,99701016,7300,DMO (DOH Rep),08/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,REDUBLO,MARIA LUZBELLA,GARCIA,DMO (DOH Rep),08/01/2018,Rural Health Midwife,DMO (DOH Rep),08/01/2018,6.702393,121.968749,NAMRIA (GPS),10/24/2019,high,DOH/KMITS,Active,DMO (DOH Rep),08/01/2018,Not Applicable,DMO (DOH Rep),08/01/2018,,,,Approved,,,,,,,,NHFR WEBSITE
