Facility Code,Health Facility Code Short,Health Facility Code Duplicate 1,Source Duplicate 1,Duplicate 1 Date Collected,Health Facility Code Duplicate 2,Source Duplicate 2,Duplicate 2 Date Collected,Health Facility Code Duplicate 3,Source Duplicate 3,Duplicate 3 Date Collected,Health Facility Code Duplicate 4,Source Duplicate 4,Duplicate 4 Date Collected,SPEED Code,Source SPEED Code,SPEED Code Date Collected,PhilHealth Registration Number,Source Phil Health Code,Phil Health Code Date Collected,Health Facility Authorization/License to Operate,Source LTO Code,LTO Code Date Collected,Facility Name,Source Facility Name,Facility Name Date Collected,Old Health Facility Name 1,Source Old Health Facility Name 1,Old Health Facility Name 1 Date Collected,Old Health Facility Name 2,Source Old Health Facility Name 2,Old Health Facility Name 2 Date Collected,Old Health Facility Name 3,Source Old Health Facility Name 3,Old Health Facility Name 3 Date Collected,Health Facility Type,Source Health Facility Type,Health Facility Type Date Collected,Ownership Major Classification,Source Ownership Major Classification,Ownership Major Classification Date Collected,Ownership Sub-Classification for Government facilities,Source Ownership Sub-Classification for Government facilities,OSC Government Date Collected,Ownership Sub-Classification for private facilities,Source Ownership Sub-Classification for private facilities,OSC Private Date Collected,Street Name and #,Source Street Name and #,Street Name and # Date Collected,Building name and #,Source Building name and #,Building name and # Date Collected,Region Name                                             ,Source Region Name,Region Name Date Collected,Region PSGC,Province Name ,Source Province Name,Province Name  Date Collected,Province PSGC,City/Municipality Name,Source City/Municipality Name,City/Municipality Name Date Collected,City/Municipality PSGC,Barangay Name,Source Barangay Name,Barangay Name Date Collected,Barangay PSGC,Zip Code,Source Zip code,Zip Code Date Collected,Landline Number 1,Source Landline Number 1,Landline Number 1 Date Collected,Landline Number 2,Source Landline Number 2,Landline Number 2 Date Collected,Mobile Number 1,Source Mobile Number,Mobile Number Date Collected,Mobile Number 2,mobile number 2 src,mobile number 2 dt,Fax Number,Source Fax Number,Fax Number Date Collected,Email Address,Source Email Address,Email Address Date Collected,Alternate Email Address,Source Alternate Email Address,Alternate Email Address Date Collected,Official Website,Source Official Website,Official Website Date Collected,Facility Head: Last Name,Facility Head: First Name,Facility Head: Middle Name,Source Facility Head,Facility Head Date Collected,Facility Head: Position,Source Facility Head: Position,Facility Head: Position Date Collected,Latitude,Longitude,Source Latitude/Longitude,Latitude/Longitude Coord Date Collected,Precision Latitude/Longitude,Source Precision Latitude/Longitude,Health Facility Status in the database,Source Health Facility Status in the database,Health Facility Status in the database Date Collected,Reason for Inactive,Source Reason for Inactive,Reason for Inactive Date Collected,Comments,Source Comments,Comments Date Collected,Approval Status,Service Capability,Licensing Status,Licensing Status Source,Licensing Status Date Collected,Bed Capacity,Bed Capacity Source,Bed Capacity Date Collected,Request Source
DOH000000000008074,8074,DOH000000000012793,DMO (DOH Rep),07/01/2013,, ,,, ,,, ,, ,,, ,,, ,,,AGTANGAO BARANGAY HEALTH STATION,DMO (DOH Rep),11/05/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/05/2014,Government,DMO (DOH Rep),11/05/2014,Local Government Unit,DMO (DOH Rep),11/05/2014, , ,, , ,, , ,,CORDILLERA ADMINISTRA TIVE REGION (CAR),DMO (DOH Rep),11/05/2014,140000000,ABRA,DMO (DOH Rep),11/05/2014,140100000,BANGUED (Capital),DMO (DOH Rep),11/05/2014,140101000,AGTANGAO,DMO (DOH Rep),11/05/2014,140101001,2800,DOH/KMITS,11/05/2014, , ,, , ,,+63 9162351633,DMO (DOH Rep),11/05/2014,,,, , ,, , ,, , ,, , ,,DARIA,RUTH MARY ANN, ,DMO (DOH Rep),11/05/2014,Rural Health Midwife,DMO (DOH Rep),11/05/2014,17.56896,120.63257,DOH/KMITS (Barangay Centroid),11/05/2014,Low,DOH/KMITS,Active,DMO (DOH Rep),11/05/2014,Not Applicable,DMO (DOH Rep),11/05/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000008075,8075,DOH000000000012806,DMO (DOH Rep),07/01/2013,, ,,, ,,, ,, ,,, ,,, ,,,ANGAD BARANGAY HEALTH STATION,DMO (DOH Rep),11/05/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/05/2014,Government,DMO (DOH Rep),11/05/2014,Local Government Unit,DMO (DOH Rep),11/05/2014, , ,, , ,, , ,,CORDILLERA ADMINISTRA TIVE REGION (CAR),DMO (DOH Rep),11/05/2014,140000000,ABRA,DMO (DOH Rep),11/05/2014,140100000,BANGUED (Capital),DMO (DOH Rep),11/05/2014,140101000,ANGAD,DMO (DOH Rep),11/05/2014,140101002,2800,DOH/KMITS,11/05/2014, , ,, , ,,+63 9158500842,DMO (DOH Rep),11/05/2014,,,, , ,, , ,, , ,, , ,,TAMO,ROSALIE,BERNAL,DMO (DOH Rep),11/05/2014,Rural Health Midwife,DMO (DOH Rep),11/05/2014,17.584387,120.627418,DOH/KMITS (Barangay Centroid),11/05/2014,Low,DOH/KMITS,Active,DMO (DOH Rep),11/05/2014,Not Applicable,DMO (DOH Rep),11/05/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000006556,6556,,,,,,,,,,,,,CARABR001H,DOH/HEMB,07/01/2013,,,,14-0021-20-H1-1,Regional Office,7/27/2020,ABRA PROVINCIAL HOSPITAL,Regional Office,7/27/2020,,,,,,,,,,Hospital,Regional Office,7/27/2020,Government,Regional Office,7/27/2020,Local Government Unit,Regional Office,7/27/2020,,,,,,,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Regional Office,7/27/2020,140000000,ABRA,Regional Office,7/27/2020,140100000,BANGUED (Capital),Regional Office,7/27/2020,140101000,CALABA,Regional Office,7/27/2020,140101006,2800,Regional Office,7/27/2020,+63 747525693,Regional Office,7/27/2020,+63 747527510,Regional Office,7/27/2020,+63 9173772558,Regional Office,7/27/2020,,,,,,,abraprovincialhospital@yahoo.com.ph,Regional Office,7/27/2020,,,,,,,SEARES,ROSAURO VINCENT,P.,Regional Office,7/27/2020,Chief of Hospital,Regional Office,7/27/2020,17.616001,120.618015,NAMRIA (GPS),12/31/2017,High,DOH/KMITS,Active,Regional Office,7/27/2020,Not Applicable,Regional Office,7/27/2020,,,,Approved,Level 1,With License,Regional Office,7/27/2020,155,Regional Office,7/27/2020,NHFR WEBSITE
DOH000000000020935,20935,, ,,, ,,, ,,, ,, ,,, ,,, ,,,MACARCARMAY BARANGAY HEALTH STATION,DMO (DOH Rep),11/05/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/05/2014,Government,DMO (DOH Rep),11/05/2014,Local Government Unit,DMO (DOH Rep),11/05/2014, , ,, , ,, , ,,CORDILLERA ADMINISTRA TIVE REGION (CAR),DMO (DOH Rep),11/05/2014,140000000,ABRA,DMO (DOH Rep),11/05/2014,140100000,BANGUED (Capital),DMO (DOH Rep),11/05/2014,140101000,MACARCARMAY,DMO (DOH Rep),11/05/2014,140101014,2800,DOH/KMITS,11/05/2014, , ,, , ,,+63 9264710179,DMO (DOH Rep),11/05/2014,,,, , ,, , ,, , ,, , ,,BUENAFE,JOSPEHINE,B.,DMO (DOH Rep),11/05/2014,Rural Health Midwife,DMO (DOH Rep),11/05/2014,17.572089,120.677037,DOH/KMITS (Barangay Centroid),11/05/2014,Low,DOH/KMITS,Active,DMO (DOH Rep),11/05/2014,Not Applicable,DMO (DOH Rep),11/05/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000020936,20936,,,,,,,,,,,,,,,,,,,,,,MAOAY BARANGAY HEALTH STATION,DMO (DOH Rep),7/19/2018,,Unknown,,,Unknown,,,Unknown,,Barangay Health Station,DMO (DOH Rep),7/19/2018,Government,DMO (DOH Rep),7/19/2018,Local Government Unit,DMO (DOH Rep),7/19/2018,,Unknown,,,Unknown,,,Unknown,,CORDILLERA ADMINISTRA TIVE REGION (CAR),DMO (DOH Rep),7/19/2018,140000000,ABRA,DMO (DOH Rep),7/19/2018,140100000,BANGUED (Capital),DMO (DOH Rep),7/19/2018,140101000,MAOAY,DMO (DOH Rep),7/19/2018,140101015,,Unknown,,,Unknown,,,Unknown,,,Unknown,,,,,,Unknown,,,Unknown,,,Unknown,,,Unknown,,,,,Unknown,,,Unknown,,17.504116,120.63017,DOH/KMITS (Barangay Centroid),01/06/2021,Low,DOH/KMITS,Active,DMO (DOH Rep),7/19/2018,,,,Using barangay hall,DMO (DOH Rep),7/19/2018,Approved,,,,,,,,NHFR WEBSITE
DOH000000000020941,20941,, ,,, ,,, ,,, ,, ,,, ,,, ,,,SAN ANTONIO BARANGAY HEALTH STATION,DMO (DOH Rep),11/05/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/05/2014,Government,DMO (DOH Rep),11/05/2014,Local Government Unit,DMO (DOH Rep),11/05/2014, , ,, , ,, , ,,CORDILLERA ADMINISTRA TIVE REGION (CAR),DMO (DOH Rep),11/05/2014,140000000,ABRA,DMO (DOH Rep),11/05/2014,140100000,BANGUED (Capital),DMO (DOH Rep),11/05/2014,140101000,SAN ANTONIO,DMO (DOH Rep),11/05/2014,140101021,2800,DOH/KMITS,11/05/2014, , ,, , ,, , ,,,,, , ,, , ,, , ,, , ,,BLAZA,ANGELITA,GALERA,DMO (DOH Rep),11/05/2014,Rural Health Midwife,DMO (DOH Rep),11/05/2014,17.62849,120.60295,CHD (GPS),11/05/2014,High,DOH/KMITS,Active,DMO (DOH Rep),11/05/2014,Not Applicable,DMO (DOH Rep),11/05/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000030035,30035,, ,,, ,,, ,,, ,, ,,, ,,, ,,,ABRA CHILDREN'S CLINIC,DMO (DOH Rep),11/05/2014, , ,, , ,, , ,,Hospital,DMO (DOH Rep),11/05/2014,Private,DMO (DOH Rep),11/05/2014, , ,, , ,,ACTIVIDAD ECONOMIA STREET,DMO (DOH Rep),11/05/2014, , ,,CORDILLERA ADMINISTRA TIVE REGION (CAR),DMO (DOH Rep),11/05/2014,140000000,ABRA,DMO (DOH Rep),11/05/2014,140100000,BANGUED (Capital),DMO (DOH Rep),11/05/2014,140101000,ZONE 1 POB. (NALASIN),DMO (DOH Rep),11/05/2014,140101031,2800,DOH/KMITS,11/05/2014,+63 747528053,DMO (DOH Rep),11/05/2014, , ,, , ,,,,, , ,, , ,, , ,, , ,,TAVERNER,MARIA LUISA,RAMIREZ,DMO (DOH Rep),11/05/2014,Medical Director,DMO (DOH Rep),11/05/2014,17.602825,120.618227,NAMRIA (GPS),03/11/2014,High,DOH/KMITS,Active,DMO (DOH Rep),11/05/2014,Not Applicable,DMO (DOH Rep),11/05/2014, , ,,Approved,,Without License,,,,,,NHFR WEBSITE
DOH000000000000356,356,,,,,,,,,,,,,,,,,,,14-0015-20-0024-H1-2,Regional Office,7/24/2020,DR. PETRONILO V. SEARES SR. MEMORIAL HOSPITAL,Regional Office,7/24/2020,,,,,,,,,,Hospital,Regional Office,7/24/2020,Private,Regional Office,7/24/2020,,,,,,,PEÑARRUBIA STREET,Regional Office,7/24/2020,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Regional Office,7/24/2020,140000000,ABRA,Regional Office,7/24/2020,140100000,BANGUED (Capital),Regional Office,7/24/2020,140101000,ZONE 4 POB. (TOWN PROPER),Regional Office,7/24/2020,140101027,2800,Regional Office,7/24/2020,+63 747527695,Regional Office,7/24/2020,+63 747528350,Regional Office,7/24/2020,,,,,,,,,,petronilo_seares@yahoo.com.ph,Regional Office,7/24/2020,,,,,,,SEARES,ARISTEO CESAR VOLTAIRE,LIZARDO,Regional Office,7/24/2020,Medical Director,Regional Office,7/24/2020,17.596413,120.617932,NAMRIA (GPS),05/03/2017,High,DOH/KMITS,Active,Regional Office,7/24/2020,Not Applicable,Regional Office,7/24/2020,,,,Approved,Level 1,With License,Regional Office,7/24/2020,24,Regional Office,7/24/2020,NHFR WEBSITE
DOH000000000000320,320,,,,,,,,,,,,,,,,,,,14-0002-20-0017-H1-2,Regional Office,7/27/2020,BANGUED CHRISTIAN HOSPITAL,Regional Office,7/27/2020,,,,,,,,,,Hospital,Regional Office,7/27/2020,Private,Regional Office,7/27/2020,,,,,,,TORRIJOS STREET,Regional Office,7/27/2020,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Regional Office,7/27/2020,140000000,ABRA,Regional Office,7/27/2020,140100000,BANGUED (Capital),Regional Office,7/27/2020,140101000,ZONE 5 POB. (BO. BARIKIR),Regional Office,7/27/2020,140101028,2800,Regional Office,7/27/2020,+63 746146951,Regional Office,7/27/2020,+63 747525644,Regional Office,7/27/2020,+63 9177999977,Regional Office,7/27/2020,,,,,,,banguedchristianhospital@yahoo.com.ph,Regional Office,7/27/2020,,,,,,,FIGUERAS,JULIETA JOY,BENGAS,Regional Office,7/27/2020,Medical Director,Regional Office,7/27/2020,17.595941,120.621045,NAMRIA (GPS),05/03/2017,High,DOH/KMITS,Active,Regional Office,7/27/2020,Not Applicable,Regional Office,7/27/2020,,,,Approved,Level 1,With License,Regional Office,7/27/2020,17,Regional Office,7/27/2020,NHFR WEBSITE
DOH000000000001513,1513,DOH000000000004916,DMO (DOH Rep),07/01/2013,, ,,, ,,, ,, ,,, ,,, ,,,BANGUED MUNICIPAL HEALTH OFFICE,DMO (DOH Rep),11/05/2014,BANGUED RURAL HEALTH UNIT,DMO (DOH Rep),11/05/2014, , ,, , ,,Rural Health Unit,DMO (DOH Rep),11/05/2014,Government,DMO (DOH Rep),11/05/2014,Local Government Unit,DMO (DOH Rep),11/05/2014, , ,,TORRIJOS,DMO (DOH Rep),11/05/2014, , ,,CORDILLERA ADMINISTRA TIVE REGION (CAR),DMO (DOH Rep),11/05/2014,140000000,ABRA,DMO (DOH Rep),11/05/2014,140100000,BANGUED (Capital),DMO (DOH Rep),11/05/2014,140101000,ZONE 5 POB. (BO. BARIKIR),DMO (DOH Rep),11/05/2014,140101028,2800,DOH/KMITS,11/05/2014,+63 747525384,DMO (DOH Rep),11/05/2014, , ,, , ,,,,,+63 747525384,DMO (DOH Rep),11/05/2014, , ,, , ,, , ,,CORTES,GLYGORIC,ALZATE,DMO (DOH Rep),11/05/2014,Municipal Health Officer,DMO (DOH Rep),11/05/2014,17.594024,120.620288,NAMRIA (GPS),11/05/2014,High,DOH/KMITS,Active,DMO (DOH Rep),11/05/2014,Not Applicable,DMO (DOH Rep),11/05/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
