Facility Code,Health Facility Code Short,Health Facility Code Duplicate 1,Source Duplicate 1,Duplicate 1 Date Collected,Health Facility Code Duplicate 2,Source Duplicate 2,Duplicate 2 Date Collected,Health Facility Code Duplicate 3,Source Duplicate 3,Duplicate 3 Date Collected,Health Facility Code Duplicate 4,Source Duplicate 4,Duplicate 4 Date Collected,SPEED Code,Source SPEED Code,SPEED Code Date Collected,PhilHealth Registration Number,Source Phil Health Code,Phil Health Code Date Collected,Health Facility Authorization/License to Operate,Source LTO Code,LTO Code Date Collected,Facility Name,Source Facility Name,Facility Name Date Collected,Old Health Facility Name 1,Source Old Health Facility Name 1,Old Health Facility Name 1 Date Collected,Old Health Facility Name 2,Source Old Health Facility Name 2,Old Health Facility Name 2 Date Collected,Old Health Facility Name 3,Source Old Health Facility Name 3,Old Health Facility Name 3 Date Collected,Health Facility Type,Source Health Facility Type,Health Facility Type Date Collected,Ownership Major Classification,Source Ownership Major Classification,Ownership Major Classification Date Collected,Ownership Sub-Classification for Government facilities,Source Ownership Sub-Classification for Government facilities,OSC Government Date Collected,Ownership Sub-Classification for private facilities,Source Ownership Sub-Classification for private facilities,OSC Private Date Collected,Street Name and #,Source Street Name and #,Street Name and # Date Collected,Building name and #,Source Building name and #,Building name and # Date Collected,Region Name                                             ,Source Region Name,Region Name Date Collected,Region PSGC,Province Name ,Source Province Name,Province Name  Date Collected,Province PSGC,City/Municipality Name,Source City/Municipality Name,City/Municipality Name Date Collected,City/Municipality PSGC,Barangay Name,Source Barangay Name,Barangay Name Date Collected,Barangay PSGC,Zip Code,Source Zip code,Zip Code Date Collected,Landline Number 1,Source Landline Number 1,Landline Number 1 Date Collected,Landline Number 2,Source Landline Number 2,Landline Number 2 Date Collected,Mobile Number 1,Source Mobile Number,Mobile Number Date Collected,Mobile Number 2,mobile number 2 src,mobile number 2 dt,Fax Number,Source Fax Number,Fax Number Date Collected,Email Address,Source Email Address,Email Address Date Collected,Alternate Email Address,Source Alternate Email Address,Alternate Email Address Date Collected,Official Website,Source Official Website,Official Website Date Collected,Facility Head: Last Name,Facility Head: First Name,Facility Head: Middle Name,Source Facility Head,Facility Head Date Collected,Facility Head: Position,Source Facility Head: Position,Facility Head: Position Date Collected,Latitude,Longitude,Source Latitude/Longitude,Latitude/Longitude Coord Date Collected,Precision Latitude/Longitude,Source Precision Latitude/Longitude,Health Facility Status in the database,Source Health Facility Status in the database,Health Facility Status in the database Date Collected,Reason for Inactive,Source Reason for Inactive,Reason for Inactive Date Collected,Comments,Source Comments,Comments Date Collected,Approval Status,Service Capability,Licensing Status,Licensing Status Source,Licensing Status Date Collected,Bed Capacity,Bed Capacity Source,Bed Capacity Date Collected,Request Source,Column1,Column2,Column3,,,,,,,,,,,,,,,,,,
DOH000000000004172,4172,DOH000000000017743,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,DOH/HEMB,, ,,, ,,,ADAMS MUNICIPAL HEALTH OFFICE,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS NORTE,DMO (DOH Rep),11/11/2014,12800000,ADAMS,DMO (DOH Rep),11/11/2014,12801000,ADAMS (POB.),DMO (DOH Rep),11/11/2014,12801001,2922,DOH/KMITS,11/11/2014, , ,, , ,,+63 999992460,DMO (DOH Rep),11/11/2014,,,, , ,,bielmaju.waley@gmail.com,DMO (DOH Rep),11/11/2014, , ,, , ,,BAWINGAN,BIELMAJU,WALEY,DMO (DOH Rep),11/11/2014,Municipal Health Officer,DMO (DOH Rep),11/11/2014,18.461943,120.901667,NAMRIA (GPS),06/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000032212,32212,,,,,,,,,,,,,,,,,,,01-021-16-03-BH-1,Regional Office,23/07/2020,ADAMS RURAL HEALTH UNIT BIRTHING FACILITY,Regional Office,23/07/2020,,,,,,,,,,Birthing Home,Regional Office,23/07/2020,Government,Regional Office,23/07/2020,,,,,,,,,,,,,REGION I (ILOCOS REGION),Regional Office,23/07/2020,10000000,ILOCOS NORTE,Regional Office,23/07/2020,12800000,ADAMS,Regional Office,23/07/2020,12801000,ADAMS (POB.),Regional Office,23/07/2020,12801001,,,,,,,,,,+63 9175388303,Regional Office,23/07/2020,,,,,,,,,,,,,,,,BAWINGAN,BELIMAJU,,Regional Office,23/07/2020,,,,18.461943,120.901667,NAMRIA (GPS),06/11/2017,High,DOH/KMITS,Active,Regional Office,23/07/2020,Not Applicable,Regional Office,23/07/2020,,,,Approved,,With License,Regional Office,23/07/2020,3,Regional Office,23/07/2020,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000029894,29894,,,,,,,,,,,,, ,,, ,,,,,,MALAGGAO BARANGAY HEALTH STATION,DMO (DOH Rep),11/10/2019,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),11/10/2019,Government,DMO (DOH Rep),11/10/2019,Local Government Unit,DMO (DOH Rep),11/10/2019,,,,,,,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/10/2019,10000000,ILOCOS NORTE,DMO (DOH Rep),11/10/2019,12800000,ADAMS,DMO (DOH Rep),11/10/2019,12801000,ADAMS (POB.),DMO (DOH Rep),11/10/2019,12801001,2922,DOH/KMITS,11/10/2019,,,,,,,+63 9206789689,DMO (DOH Rep),11/10/2019,,,,,,,,,,,,,,,,PEDRONAN,ERNANIE,CALIO-CALIO,DMO (DOH Rep),11/10/2019,Rural Health Midwife,DMO (DOH Rep),11/10/2019,18.461097,120.916769,NAMRIA (GPS),06/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/10/2019,Not Applicable,DMO (DOH Rep),11/10/2019,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000005827,5827,DOH000000000007992,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,DOH/HEMB,, ,,, ,,,BACARRA MUNICIPAL HEALTH OFFICE,DMO (DOH Rep),11/11/2014,BACARRA RURAL HEALTH UNIT,DMO (DOH Rep),11/11/2014, , ,, , ,,Rural Health Unit,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS NORTE,DMO (DOH Rep),11/11/2014,12800000,BACARRA,DMO (DOH Rep),11/11/2014,12802000,SANTA RITA (POB.),DMO (DOH Rep),11/11/2014,12802046,2916,DOH/KMITS,11/11/2014,+63 776707451,DMO (DOH Rep),11/11/2014, , ,, , ,,,,,+63 776703265,DMO (DOH Rep),11/11/2014,lgubacarra@yahoo.com,DMO (DOH Rep),11/11/2014, , ,, , ,,ANDRES,MANUEL,A.,DMO (DOH Rep),11/11/2014,Municipal Health Officer,DMO (DOH Rep),11/11/2014,18.251332,120.611064,NAMRIA (GPS),07/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000038722,38722,,,,,,,,,,,,,,DMO (DOH Rep),13/05/2020,,DMO (DOH Rep),13/05/2020,,,,BACARRA RHU LYING-IN & BIRTHING CENTER,Regional Office,23/07/2020,,,,,,,,,,Birthing Home,Regional Office,23/07/2020,Government,Regional Office,23/07/2020,,,,,,,,,,,,,REGION I (ILOCOS REGION),Regional Office,23/07/2020,10000000,ILOCOS NORTE,Regional Office,23/07/2020,12800000,BACARRA,Regional Office,23/07/2020,12802000,SANTA RITA (POB.),Regional Office,23/07/2020,12802046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.251332,120.611064,NAMRIA (GPS),07/11/2017,High,DOH/KMITS,Active,Regional Office,23/07/2020,Not Applicable,Regional Office,23/07/2020,,,,Approved,,With License,Regional Office,23/07/2020,5,Regional Office,23/07/2020,MOBILE REQUEST,,,,,,,,,,,,,,,,,,,,,
DOH000000000001021,1021,DOH000000000017746,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,CABULALAAN BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS NORTE,DMO (DOH Rep),11/11/2014,12800000,BACARRA,DMO (DOH Rep),11/11/2014,12802000,CABULALAAN,DMO (DOH Rep),11/11/2014,12802004,2916,DOH/KMITS,11/11/2014, , ,, , ,,+63 9165724201,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,DE GUZMAN,DELMA,F.,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,18.276183,120.586999,NAMRIA (GPS),07/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000001024,1024,DOH000000000017747,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,CADARATAN BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS NORTE,DMO (DOH Rep),11/11/2014,12800000,BACARRA,DMO (DOH Rep),11/11/2014,12802000,CADARATAN,DMO (DOH Rep),11/11/2014,12802006,2916,DOH/KMITS,11/11/2014, , ,, , ,,+63 9991606975,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,DOMINGO,MICHELLE,T.,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,18.292629,120.599251,NAMRIA (GPS),07/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000003441,3441,DOH000000000005191,DOH/KMITS,30/12/2016,,,,,,,,,,,,,,,,,,,DR. BONIFACIA V. ALBANO MEMORIAL HOSPITAL,Regional Office,22/07/2020,BACARRA MEDICAL CENTER,Regional Office,22/07/2020,BACARRA GENERAL HOSPITAL,Regional Office,22/07/2020,,,,Hospital,Regional Office,22/07/2020,Private,Regional Office,22/07/2020,,,,,,,NATIONAL ROAD,Regional Office,22/07/2020,,,,REGION I (ILOCOS REGION),Regional Office,22/07/2020,10000000,ILOCOS NORTE,Regional Office,22/07/2020,12800000,BACARRA,Regional Office,22/07/2020,12802000,LIBTONG,Regional Office,22/07/2020,12802013,2916,Regional Office,22/07/2020,+63 776703142,Regional Office,22/07/2020,,,,,,,,,,,,,bmc_1970@yahoo.com,Regional Office,22/07/2020,,,,,,,PADRON,EDUARDO,E.,Regional Office,22/07/2020,Chief of Hospital,Regional Office,22/07/2020,18.256899,120.6126264,NAMRIA (GPS),07/11/2017,High,DOH/KMITS,Active,Regional Office,22/07/2020,Not Applicable,Regional Office,22/07/2020,,,,Approved,Level 1,With License,Regional Office,22/07/2020,25,Regional Office,22/07/2020,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000006274,6274,DOH000000000017749,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,NAMBARAN BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS NORTE,DMO (DOH Rep),11/11/2014,12800000,BACARRA,DMO (DOH Rep),11/11/2014,12802000,NAMBARAN,DMO (DOH Rep),11/11/2014,12802015,2916,DOH/KMITS,11/11/2014, , ,, , ,,+63 9283980772,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,MANEJA,CLARITA,R.,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,18.2660471,120.6454041,NAMRIA (GPS),07/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000002178,2178,DOH000000000017751,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,SANGIL BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS NORTE,DMO (DOH Rep),11/11/2014,12800000,BACARRA,DMO (DOH Rep),11/11/2014,12802000,SANGIL,DMO (DOH Rep),11/11/2014,12802042,2916,DOH/KMITS,11/11/2014, , ,, , ,,+63 9108591017,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,MACADANGDANG,RENALYN,B.,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,18.243254,120.594299,NAMRIA (GPS),07/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
