Facility Code,Health Facility Code Short,Health Facility Code Duplicate 1,Source Duplicate 1,Duplicate 1 Date Collected,Health Facility Code Duplicate 2,Source Duplicate 2,Duplicate 2 Date Collected,Health Facility Code Duplicate 3,Source Duplicate 3,Duplicate 3 Date Collected,Health Facility Code Duplicate 4,Source Duplicate 4,Duplicate 4 Date Collected,SPEED Code,Source SPEED Code,SPEED Code Date Collected,PhilHealth Registration Number,Source Phil Health Code,Phil Health Code Date Collected,Health Facility Authorization/License to Operate,Source LTO Code,LTO Code Date Collected,Facility Name,Source Facility Name,Facility Name Date Collected,Old Health Facility Name 1,Source Old Health Facility Name 1,Old Health Facility Name 1 Date Collected,Old Health Facility Name 2,Source Old Health Facility Name 2,Old Health Facility Name 2 Date Collected,Old Health Facility Name 3,Source Old Health Facility Name 3,Old Health Facility Name 3 Date Collected,Health Facility Type,Source Health Facility Type,Health Facility Type Date Collected,Ownership Major Classification,Source Ownership Major Classification,Ownership Major Classification Date Collected,Ownership Sub-Classification for Government facilities,Source Ownership Sub-Classification for Government facilities,OSC Government Date Collected,Ownership Sub-Classification for private facilities,Source Ownership Sub-Classification for private facilities,OSC Private Date Collected,Street Name and #,Source Street Name and #,Street Name and # Date Collected,Building name and #,Source Building name and #,Building name and # Date Collected,Region Name                                             ,Source Region Name,Region Name Date Collected,Region PSGC,Province Name ,Source Province Name,Province Name  Date Collected,Province PSGC,City/Municipality Name,Source City/Municipality Name,City/Municipality Name Date Collected,City/Municipality PSGC,Barangay Name,Source Barangay Name,Barangay Name Date Collected,Barangay PSGC,Zip Code,Source Zip code,Zip Code Date Collected,Landline Number 1,Source Landline Number 1,Landline Number 1 Date Collected,Landline Number 2,Source Landline Number 2,Landline Number 2 Date Collected,Mobile Number 1,Source Mobile Number,Mobile Number Date Collected,Mobile Number 2,mobile number 2 src,mobile number 2 dt,Fax Number,Source Fax Number,Fax Number Date Collected,Email Address,Source Email Address,Email Address Date Collected,Alternate Email Address,Source Alternate Email Address,Alternate Email Address Date Collected,Official Website,Source Official Website,Official Website Date Collected,Facility Head: Last Name,Facility Head: First Name,Facility Head: Middle Name,Source Facility Head,Facility Head Date Collected,Facility Head: Position,Source Facility Head: Position,Facility Head: Position Date Collected,Latitude,Longitude,Source Latitude/Longitude,Latitude/Longitude Coord Date Collected,Precision Latitude/Longitude,Source Precision Latitude/Longitude,Health Facility Status in the database,Source Health Facility Status in the database,Health Facility Status in the database Date Collected,Reason for Inactive,Source Reason for Inactive,Reason for Inactive Date Collected,Comments,Source Comments,Comments Date Collected,Approval Status,Service Capability,Licensing Status,Licensing Status Source,Licensing Status Date Collected,Bed Capacity,Bed Capacity Source,Bed Capacity Date Collected,Request Source
DOH000000000012111,12111,, ,,, ,,, ,,, ,, ,,, ,,, ,,,BALINTAD BARANGAY HEALTH STATION,DMO (DOH Rep),10/08/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),10/08/2014,Government,DMO (DOH Rep),10/08/2014,Local Government Unit,DMO (DOH Rep),10/08/2014, , ,,PUROK 1,DMO (DOH Rep),10/10/2014, , ,,REGION X (NORTHERN MINDANAO),DMO (DOH Rep),10/08/2014,100000000,BUKIDNON,DMO (DOH Rep),10/08/2014,101300000,BAUNGON,DMO (DOH Rep),10/08/2014,101301000,BALINTAD,DMO (DOH Rep),10/08/2014,101301001,8707,DMO (DOH Rep),10/08/2014, , ,, , ,,+63 9154843567,DMO (DOH Rep),10/08/2014,,,, , ,, , ,, , ,, , ,,SAGUINDAN,LAUREEN,C.,DMO (DOH Rep),10/08/2014,Public Health Nurse,DMO (DOH Rep),10/08/2014,8.2495298,124.6970978,CHD (GPS),10/08/2014,High,DOH/KMITS,Active,DMO (DOH Rep),10/08/2014,Not Applicable,DMO (DOH Rep),10/08/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000012112,12112,, ,,, ,,, ,,, ,, ,,, ,,, ,,,BUENAVISTA BARANGAY HEALTH STATION,DMO (DOH Rep),10/08/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),10/08/2014,Government,DMO (DOH Rep),10/08/2014,Local Government Unit,DMO (DOH Rep),10/08/2014, , ,,PUROK 1,DMO (DOH Rep),10/10/2014, , ,,REGION X (NORTHERN MINDANAO),DMO (DOH Rep),10/08/2014,100000000,BUKIDNON,DMO (DOH Rep),10/08/2014,101300000,BAUNGON,DMO (DOH Rep),10/08/2014,101301000,BUENAVISTA,DMO (DOH Rep),10/08/2014,101301002,8707,DMO (DOH Rep),10/08/2014, , ,, , ,,+63 9355861188,DMO (DOH Rep),10/08/2014,,,, , ,, , ,, , ,, , ,,ACUESTA,GENERAS,M.,DMO (DOH Rep),10/08/2014,Rural Health Midwife,DMO (DOH Rep),10/08/2014,8.297518,124.674679,NAMRIA (GPS),06/03/2019,high,DOH/KMITS,Active,DMO (DOH Rep),10/08/2014,Not Applicable,DMO (DOH Rep),10/08/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000012113,12113,, ,,, ,,, ,,, ,, ,,, ,,, ,,,DANATAG BARANGAY HEALTH STATION,DMO (DOH Rep),10/08/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),10/08/2014,Government,DMO (DOH Rep),10/08/2014,Local Government Unit,DMO (DOH Rep),10/08/2014, , ,,PUROK 2,DMO (DOH Rep),10/10/2014, , ,,REGION X (NORTHERN MINDANAO),DMO (DOH Rep),10/08/2014,100000000,BUKIDNON,DMO (DOH Rep),10/08/2014,101300000,BAUNGON,DMO (DOH Rep),10/08/2014,101301000,DANATAG,DMO (DOH Rep),10/08/2014,101301003,8707,DMO (DOH Rep),10/08/2014, , ,, , ,,+63 9059522068,DMO (DOH Rep),10/08/2014,,,, , ,, , ,, , ,, , ,,MIRANDE,ANA MARIA,J.,DMO (DOH Rep),10/08/2014,Rural Health Midwife,DMO (DOH Rep),10/08/2014,8.309672,124.630558,NAMRIA (GPS),06/03/2019,high,DOH/KMITS,Active,DMO (DOH Rep),10/08/2014,Not Applicable,DMO (DOH Rep),10/08/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000004049,4049,DOH000000000015105,DOH/KMITS,07/01/2013,DOH000000000020986,DOH/KMITS,07/01/2013,, ,,, ,, ,,, ,,, ,,,BAUNGON RURAL HEALTH UNIT,DMO (DOH Rep),10/08/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),10/08/2014,Government,DMO (DOH Rep),10/08/2014,Local Government Unit,DMO (DOH Rep),10/08/2014, , ,, , ,, , ,,REGION X (NORTHERN MINDANAO),DMO (DOH Rep),10/08/2014,100000000,BUKIDNON,DMO (DOH Rep),10/08/2014,101300000,BAUNGON,DMO (DOH Rep),10/08/2014,101301000,IMBATUG (POB.),DMO (DOH Rep),10/08/2014,101301012,8707,DMO (DOH Rep),10/08/2014, , ,, , ,,+63 9178257947,DMO (DOH Rep),10/08/2014,,,, , ,, , ,, , ,, , ,,PAAS,JEFRREY LEO,T.,DMO (DOH Rep),10/08/2014,Municipal Health Officer,DMO (DOH Rep),10/08/2014,8.316113,124.684241,NAMRIA (GPS),06/03/2019,high,DOH/KMITS,Active,DMO (DOH Rep),10/08/2014,Not Applicable,DMO (DOH Rep),10/08/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000012114,12114,, ,,, ,,, ,,, ,, ,,, ,,, ,,,KALILANGAN BARANGAY HEALTH STATION,DMO (DOH Rep),10/08/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),10/08/2014,Government,DMO (DOH Rep),10/08/2014,Local Government Unit,DMO (DOH Rep),10/08/2014, , ,,PUROK 1,DMO (DOH Rep),10/10/2014, , ,,REGION X (NORTHERN MINDANAO),DMO (DOH Rep),10/08/2014,100000000,BUKIDNON,DMO (DOH Rep),10/08/2014,101300000,BAUNGON,DMO (DOH Rep),10/08/2014,101301000,KALILANGAN,DMO (DOH Rep),10/08/2014,101301004,8707,DMO (DOH Rep),10/08/2014, , ,, , ,,+63 9059522068,DMO (DOH Rep),10/08/2014,,,, , ,, , ,, , ,, , ,,MIRANDE,ANA MARIA,J.,DMO (DOH Rep),10/08/2014,Rural Health Midwife,DMO (DOH Rep),10/08/2014,8.227711,124.66571,NAMRIA (GPS),06/03/2019,high,DOH/KMITS,Active,DMO (DOH Rep),10/08/2014,Not Applicable,DMO (DOH Rep),10/08/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000012116,12116,, ,,, ,,, ,,, ,, ,,, ,,, ,,,LACOLAC BARANGAY HEALTH STATION,DMO (DOH Rep),10/08/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),10/08/2014,Government,DMO (DOH Rep),10/08/2014,Local Government Unit,DMO (DOH Rep),10/08/2014, , ,,PUROK 1,DMO (DOH Rep),10/10/2014, , ,,REGION X (NORTHERN MINDANAO),DMO (DOH Rep),10/08/2014,100000000,BUKIDNON,DMO (DOH Rep),10/08/2014,101300000,BAUNGON,DMO (DOH Rep),10/08/2014,101301000,LACOLAC,DMO (DOH Rep),10/08/2014,101301005,8707,DMO (DOH Rep),10/08/2014, , ,, , ,,+63 9262396640,DMO (DOH Rep),10/08/2014,,,, , ,, , ,, , ,, , ,,DAASIN,JANE,W.,DMO (DOH Rep),10/08/2014,Rural Health Midwife,DMO (DOH Rep),10/08/2014,8.2131,124.659915,NAMRIA (GPS),06/03/2019,high,DOH/KMITS,Active,DMO (DOH Rep),10/08/2014,Not Applicable,DMO (DOH Rep),10/08/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000012130,12130,, ,,, ,,, ,,, ,, ,,, ,,, ,,,LANGAON BARANGAY HEALTH STATION,DMO (DOH Rep),10/08/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),10/08/2014,Government,DMO (DOH Rep),10/08/2014,Local Government Unit,DMO (DOH Rep),10/08/2014, , ,,PUROK 1,DMO (DOH Rep),10/10/2014, , ,,REGION X (NORTHERN MINDANAO),DMO (DOH Rep),10/08/2014,100000000,BUKIDNON,DMO (DOH Rep),10/08/2014,101300000,BAUNGON,DMO (DOH Rep),10/08/2014,101301000,LANGAON,DMO (DOH Rep),10/08/2014,101301006,8707,DMO (DOH Rep),10/08/2014, , ,, , ,,+63 9272614556,DMO (DOH Rep),10/08/2014,,,, , ,, , ,, , ,, , ,,ABAN,MELODY,N.,DMO (DOH Rep),10/08/2014,Rural Health Midwife,DMO (DOH Rep),10/08/2014,8.299301,124.598279,NAMRIA (GPS),06/03/2019,high,DOH/KMITS,Active,DMO (DOH Rep),10/08/2014,Not Applicable,DMO (DOH Rep),10/08/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000012131,12131,, ,,, ,,, ,,, ,, ,,, ,,, ,,,LIBORAN BARANGAY HEALTH STATION,DMO (DOH Rep),10/08/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),10/08/2014,Government,DMO (DOH Rep),10/08/2014,Local Government Unit,DMO (DOH Rep),10/08/2014, , ,,PUROK 3,DMO (DOH Rep),10/10/2014, , ,,REGION X (NORTHERN MINDANAO),DMO (DOH Rep),10/08/2014,100000000,BUKIDNON,DMO (DOH Rep),10/08/2014,101300000,BAUNGON,DMO (DOH Rep),10/08/2014,101301000,LIBORAN,DMO (DOH Rep),10/08/2014,101301007,8707,DMO (DOH Rep),10/08/2014, , ,, , ,,+63 9067777418,DMO (DOH Rep),10/08/2014,,,, , ,, , ,, , ,, , ,,BARRADAS,LILIBETH,A.,DMO (DOH Rep),10/08/2014,Rural Health Midwife,DMO (DOH Rep),10/08/2014,8.352841,124.645787,NAMRIA (GPS),06/03/2019,high,DOH/KMITS,Active,DMO (DOH Rep),10/08/2014,Not Applicable,DMO (DOH Rep),10/08/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000012132,12132,, ,,, ,,, ,,, ,, ,DOH/HEMB,, ,,, ,,,LINGATING BARANGAY HEALTH STATION,DMO (DOH Rep),10/08/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),10/08/2014,Government,DMO (DOH Rep),10/08/2014,Local Government Unit,DMO (DOH Rep),10/08/2014, , ,,PUROK 1,DMO (DOH Rep),10/10/2014, , ,,REGION X (NORTHERN MINDANAO),DMO (DOH Rep),10/08/2014,100000000,BUKIDNON,DMO (DOH Rep),10/08/2014,101300000,BAUNGON,DMO (DOH Rep),10/08/2014,101301000,LINGATING,DMO (DOH Rep),10/08/2014,101301008,8707,DMO (DOH Rep),10/08/2014, , ,, , ,,+63 9358191693,DMO (DOH Rep),10/08/2014,,,, , ,, , ,, , ,, , ,,CARTAGENA,LEA,C.,DMO (DOH Rep),10/08/2014,Rural Health Midwife,DMO (DOH Rep),10/08/2014,8.330569,124.634242,NAMRIA (GPS),06/03/2019,high,DOH/KMITS,Active,DMO (DOH Rep),10/08/2014,Not Applicable,DMO (DOH Rep),10/08/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
DOH000000000012133,12133,, ,,, ,,, ,,, ,, ,,, ,,, ,,,MABUHAY BARANGAY HEALTH STATION,DMO (DOH Rep),10/08/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),10/08/2014,Government,DMO (DOH Rep),10/08/2014,Local Government Unit,DMO (DOH Rep),10/08/2014, , ,,PUROK 1B,DMO (DOH Rep),10/10/2014, , ,,REGION X (NORTHERN MINDANAO),DMO (DOH Rep),10/08/2014,100000000,BUKIDNON,DMO (DOH Rep),10/08/2014,101300000,BAUNGON,DMO (DOH Rep),10/08/2014,101301000,MABUHAY,DMO (DOH Rep),10/08/2014,101301009,8707,DMO (DOH Rep),10/08/2014, , ,, , ,,+63 9355861188,DMO (DOH Rep),10/08/2014,,,, , ,, , ,, , ,, , ,,ACUESTA,GENERAS,M.,DMO (DOH Rep),10/08/2014,Rural Health Midwife,DMO (DOH Rep),10/08/2014,8.261551,124.68826,NAMRIA (GPS),06/03/2019,high,DOH/KMITS,Active,DMO (DOH Rep),10/08/2014,Not Applicable,DMO (DOH Rep),10/08/2014, , ,,Approved,,,,,,,,NHFR WEBSITE
